"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
9.785438000E-3,5.612324551E-2,-1.285107732E-1,-1.158353239E-1
2.179743800E-2,5.612324551E-2,-1.285107732E-1,-1.158353239E-1
3.179743800E-2,5.612324551E-2,-1.285107732E-1,-1.158353239E-1
4.179743800E-2,5.612324551E-2,-1.285107732E-1,-1.158353239E-1
5.179743800E-2,-3.244458139E-1,-3.435353339E-1,-1.565342210E-2
6.179743800E-2,-3.647629023E-1,-3.667482138E-1,-1.015563495E-2
7.179743800E-2,-3.818671405E-1,-4.027892649E-1,3.283400787E-3
8.179743800E-2,-4.001930952E-1,-4.357759953E-1,2.222022414E-2
9.179743800E-2,-4.490623176E-1,-4.437172413E-1,2.649627998E-2
1.017974380E-1,-4.979315400E-1,-4.339433908E-1,1.794416644E-2
1.117974380E-1,-5.229769945E-1,-4.125631154E-1,2.038762718E-2
1.217974380E-1,-5.077053905E-1,-3.814089894E-1,1.672243699E-2
1.317974380E-1,-4.533383846E-1,-3.618612885E-1,3.283400787E-3
1.417974380E-1,-3.836997449E-1,-3.325397670E-1,-1.504255645E-2
1.517974380E-1,-3.342196345E-1,-2.946661115E-1,3.283400787E-3
1.617974380E-1,-2.462550551E-1,-3.887393773E-1,1.122464892E-2
1.717974380E-1,-1.729512215E-1,-4.712061882E-1,7.536549866E-2
1.817974380E-1,-1.472948790E-1,-5.597816110E-1,7.780896127E-2
1.917974380E-1,-1.424079537E-1,-6.843981743E-1,9.002626687E-2
2.017974380E-1,-1.546252668E-1,-8.499426246E-1,1.804343164E-1
2.117974380E-1,-2.083813995E-1,-9.470701814E-1,2.598468065E-1
2.217974380E-1,-3.317761719E-1,-1.042976022E0,3.166572750E-1
2.317974380E-1,-4.392884672E-1,-1.145601392E0,4.015675485E-1
2.417974380E-1,-4.496731758E-1,-1.305648088E0,4.876995385E-1
2.517974380E-1,-3.775910735E-1,-1.497459769E0,5.622251034E-1
2.617974380E-1,-2.908482254E-1,-1.604972124E0,5.726097822E-1
2.717974380E-1,-2.352594733E-1,-1.559157133E0,5.151884556E-1
2.817974380E-1,-1.723403633E-1,-1.389947534E0,3.936263025E-1
2.917974380E-1,-1.967749745E-1,-1.449812293E0,2.940552533E-1
3.017974380E-1,-1.399645060E-1,-1.279380918E0,2.030363381E-1
3.117974380E-1,-5.444336683E-2,-1.130940676E0,1.382846236E-1
3.217974380E-1,1.519527286E-2,-1.046030402E0,1.285107732E-1
3.317974380E-1,4.512767121E-2,-9.434050322E-1,1.309542358E-1
3.417974380E-1,3.718642145E-2,-7.485389709E-1,1.743256748E-1
3.517974380E-1,-2.023491077E-2,-5.322927237E-1,2.567924857E-1
3.617974380E-1,-9.353873879E-2,-3.325397670E-1,3.233767748E-1
3.717974380E-1,-1.515709460E-1,-4.360050708E-2,3.355940878E-1
3.817974380E-1,-1.711186320E-1,1.854739636E-1,2.922226489E-1
3.917974380E-1,-1.411862224E-1,3.742313087E-1,2.928335369E-1
4.017974380E-1,-9.170614183E-2,5.116760135E-1,3.313180506E-1
4.117974380E-1,-3.733913973E-2,5.678756237E-1,3.801872432E-1
4.217974380E-1,-2.695442922E-2,5.739842653E-1,3.704134226E-1
4.317974380E-1,-6.177374721E-2,4.609741867E-1,3.398701549E-1
4.417974380E-1,-6.116288155E-2,3.100904822E-1,3.368158340E-1
4.517974380E-1,-7.406740915E-3,3.589596748E-1,3.734677434E-1
4.617974380E-1,4.512767121E-2,5.733733773E-1,4.058435857E-1
4.717974380E-1,1.172097698E-1,6.876052022E-1,4.247804284E-1
4.817974380E-1,2.210568637E-1,7.285331488E-1,3.783546686E-1
4.917974380E-1,3.982077837E-1,7.749589086E-1,3.239876628E-1
5.017974380E-1,6.419430375E-1,7.242571115E-1,2.781727612E-1
5.117974380E-1,9.027824998E-1,6.314055920E-1,2.036471963E-1
5.217974710E-1,1.100091934E0,4.823544621E-1,1.682170182E-1
5.317974710E-1,1.173395753E0,3.058144152E-1,1.969276816E-1
5.417974710E-1,1.040838003E0,1.329395473E-1,3.465896547E-1
5.517974710E-1,7.323510647E-1,-5.703954399E-2,6.178138256E-1
5.617975040E-1,2.919172347E-1,-5.093089119E-2,8.169559240E-1
5.717975040E-1,-5.694027543E-1,7.212027907E-1,8.682686090E-1
5.817975040E-1,-1.003727913E0,9.246209264E-1,9.684504867E-1
5.917975040E-1,-8.497899175E-1,8.623126745E-1,1.144990563E0
6.017975040E-1,-7.007387877E-1,6.857725978E-1,1.000215530E0
6.117975040E-1,-5.803983212E-1,1.708131880E-1,5.628359914E-1
6.217975040E-1,-6.488152742E-1,-1.352302879E-1,1.871538460E-1
6.317975040E-1,-1.218752503E0,-1.040761694E-1,7.780896127E-2
6.417975040E-1,-1.069701433E0,-5.506186485E-1,-5.474879593E-2
6.517975040E-1,-6.989061832E-1,-3.612504303E-1,-1.573741585E-1
6.617975040E-1,-3.678172231E-1,-2.647337317E-1,-3.180317283E-1
6.717975040E-1,-1.107193250E-2,-2.598468065E-1,-4.426482320E-1
6.817975040E-1,2.070069611E-1,-1.016327068E-1,-4.469242990E-1
6.917975040E-1,1.825723499E-1,3.192534447E-1,-4.096615016E-1
7.017975040E-1,6.345362961E-2,6.924921274E-1,-5.006804466E-1
7.117975040E-1,1.019381359E-1,6.576728225E-1,-6.650031805E-1
7.217975040E-1,3.279582858E-1,2.673299015E-1,-7.700719833E-1
7.317975040E-1,3.737731576E-1,-3.093268871E-1,-6.723335385E-1
7.417975040E-1,1.495856196E-1,-4.589888752E-1,-4.817436039E-1
7.517975040E-1,-2.169335186E-1,-3.850741684E-1,-3.901138306E-1
7.617975040E-1,-4.313472211E-1,-1.993711442E-1,-3.931681514E-1
7.717975040E-1,-3.470478058E-1,-9.796751291E-2,-4.365395904E-1
7.817975040E-1,6.834054738E-2,-3.283400787E-3,-3.821725547E-1
7.917975040E-1,5.668066144E-1,-1.672243699E-2,-3.516293168E-1
8.017975040E-1,1.032896757E0,-1.401172131E-1,-3.895029426E-1
8.117975040E-1,1.415909290E0,-2.433534414E-1,-3.931681514E-1
8.217974700E-1,1.666974902E0,-2.757292986E-1,-3.497967124E-1
8.317974700E-1,1.764713287E0,-2.323578745E-1,-2.551125884E-1
8.417974700E-1,1.749441743E0,-6.253732741E-2,-1.042288840E-1
8.517974700E-1,1.653535843E0,-2.160935849E-2,7.964155823E-2
8.617974360E-1,1.455004692E0,8.933904581E-3,2.482403666E-1
8.717974360E-1,1.134300351E0,7.918340713E-2,3.410918713E-1
8.817974360E-1,8.734609485E-1,4.986187443E-2,3.936263025E-1
8.917974360E-1,7.109707594E-1,-1.450804994E-3,4.095087945E-1
9.017974360E-1,5.832999349E-1,-1.004109755E-1,4.498258829E-1
9.117974360E-1,5.044983625E-1,-1.254564524E-1,4.834234715E-1
9.217974360E-1,4.507421851E-1,1.931861416E-2,4.889212847E-1
9.317974360E-1,4.391357601E-1,8.345946670E-2,5.054146051E-1
9.417974360E-1,4.330270886E-1,9.934195876E-2,4.473824203E-1
9.517974360E-1,4.611268938E-1,2.447278947E-1,3.893502355E-1
9.617974360E-1,4.928919077E-1,3.974441886E-1,3.594178259E-1
9.717974360E-1,4.617377818E-1,4.200462103E-1,2.873357534E-1
9.817974360E-1,4.000403881E-1,2.789363563E-1,1.779908538E-1
