"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.493292700E-2,-2.913827300E-1,-3.512475267E-2,2.504547499E-2
4.343811200E-2,-2.458732575E-1,-3.420845419E-2,3.787364438E-2
5.343811200E-2,-1.907426715E-1,-3.176499158E-2,4.627304152E-2
6.343811200E-2,-1.534798890E-1,-3.924809024E-2,5.268712714E-2
7.343811200E-2,-1.434006095E-1,-4.398229718E-2,5.360342562E-2
8.343811200E-2,-1.547016203E-1,-4.444044828E-2,4.657847434E-2
9.343811200E-2,-1.731802970E-1,-3.191770986E-2,2.718350291E-2
1.034381120E-1,-2.469422817E-1,4.734205548E-3,-1.511891466E-2
1.134381120E-1,-2.806925774E-1,2.871066704E-2,-2.229658142E-2
1.234381120E-1,-2.835941911E-1,3.802636266E-2,-1.863138936E-2
1.334381120E-1,-2.452623993E-1,3.268129006E-2,-3.970623948E-3
1.434381120E-1,-1.684460938E-1,1.908953860E-2,1.206458826E-2
1.534381120E-1,-6.673702598E-2,1.084285788E-2,2.336559631E-2
1.634381120E-1,1.411098689E-1,-1.679879427E-2,3.985895589E-2
1.734381120E-1,1.921171248E-1,-4.856378585E-2,5.879577994E-2
1.834381120E-1,2.012801021E-1,-9.850201756E-2,7.681630552E-2
1.934381120E-1,1.744020283E-1,-1.690569520E-1,9.162978828E-2
2.034381120E-1,1.229366288E-1,-2.706133127E-1,1.038470939E-1
2.134381120E-1,4.886921868E-2,-3.950771093E-1,1.166752651E-1
2.234381120E-1,-6.505715102E-2,-5.992587805E-1,1.747074574E-1
2.334381120E-1,-1.924225502E-2,-6.571382880E-1,2.125810981E-1
2.434381120E-1,8.170322329E-2,-6.658431292E-1,2.432770878E-1
2.534381120E-1,1.893682331E-1,-6.282749176E-1,2.493857294E-1
2.634381120E-1,2.785545588E-1,-5.273294449E-1,2.185370475E-1
2.734381120E-1,3.404046595E-1,-3.795000315E-1,1.467603743E-1
2.834381120E-1,3.570507467E-1,-1.496619824E-2,-8.872817457E-2
2.934381120E-1,3.460551500E-1,1.478293836E-1,-2.151772827E-1
3.034381120E-1,3.526219726E-1,2.029599845E-1,-3.071125150E-1
3.134381120E-1,3.376557529E-1,1.085812971E-1,-3.313944042E-1
