"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.861421800E-2,-3.941362351E-2,-4.394086078E-3,3.209014609E-2
5.861489600E-2,-7.030537724E-2,-2.263620263E-3,2.889444493E-2
6.861687500E-2,-1.043928340E-1,4.127778113E-3,1.291595027E-2
7.862072900E-2,-1.342193633E-1,9.320789250E-4,-1.997311832E-3
8.862687500E-2,-1.576544940E-1,-9.720250964E-3,-6.258244161E-3
9.863567700E-2,-1.704372764E-1,-1.185071748E-2,1.331541280E-4
1.086473960E-1,-1.683068126E-1,-1.930734888E-2,8.655018173E-3
1.186639060E-1,-1.576544940E-1,-1.398118306E-2,1.930734888E-2
1.286832290E-1,-1.459369212E-1,-6.524552125E-3,2.676397935E-2
1.387069790E-1,-1.331541240E-1,-8.655018173E-3,3.102491237E-2
1.487347390E-1,-1.331541240E-1,-3.102491237E-2,2.889444493E-2
1.587659370E-1,-1.480673850E-1,-4.593817517E-2,2.250304818E-2
1.687998430E-1,-1.629806459E-1,-3.635107726E-2,1.398118306E-2
1.788356770E-1,-1.555240154E-1,-2.356828004E-2,2.263620263E-3
1.888550000E-1,-1.235670298E-1,-2.037258074E-2,-1.051917579E-2
1.988760410E-1,-6.391397864E-2,-1.398118306E-2,-2.436720580E-2
2.088985410E-1,2.876129188E-2,3.062544856E-3,-3.608476743E-2
2.189222390E-1,1.416759938E-1,1.797580719E-2,-5.099803209E-2
2.289468230E-1,2.663082480E-1,2.862813696E-2,-7.017222792E-2
2.389719790E-1,3.994623721E-1,3.182383627E-2,-1.021292135E-1
2.489973960E-1,5.102466345E-1,4.886756465E-2,-1.319557428E-1
2.590201040E-1,6.029219031E-1,4.673709720E-2,-1.564560980E-1
2.690381250E-1,6.785534620E-1,3.501953557E-2,-1.777607650E-1
2.790544790E-1,7.584459186E-1,-2.263620263E-3,-2.033263594E-1
2.890269790E-1,8.351426721E-1,-3.741630912E-2,-2.118482143E-1
2.990030730E-1,8.916000128E-1,-6.830807030E-2,-1.937392503E-1
3.089842710E-1,9.246222377E-1,-8.748225868E-2,-1.639127284E-1
3.189717710E-1,9.342093468E-1,-1.535267085E-1,-1.181077138E-1
3.289665100E-1,9.182308912E-1,-2.099840641E-1,-7.975932211E-2
3.389690620E-1,8.447297812E-1,-2.302234918E-1,-3.501953557E-2
3.489796870E-1,7.488588095E-1,-2.621804774E-1,4.394086078E-3
3.589983850E-1,6.551182866E-1,-2.419410497E-1,2.889444493E-2
3.690247390E-1,5.912043452E-1,-1.886793971E-1,4.700340703E-2
3.790580730E-1,5.688344240E-1,-1.631138027E-1,5.978620425E-2
3.890956770E-1,5.624430180E-1,-1.279611140E-1,8.109086752E-2
3.991383850E-1,5.358121991E-1,-1.162435561E-1,1.066564545E-1
4.091849480E-1,4.772244096E-1,-1.332872808E-1,1.396786869E-1
4.192340100E-1,3.813534081E-1,-1.482005417E-1,1.758965999E-1
4.292842710E-1,2.492645234E-1,-1.663095057E-1,2.131797522E-1
