"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.916337800E-2,2.972222865E-1,4.625970840E0,-1.101536751E0
5.626247300E-2,4.991584420E-1,5.027207375E0,-1.118028641E0
7.336818700E-2,6.409859061E-1,5.293829441E0,-1.172279358E0
9.047183400E-2,6.873738766E-1,5.569680691E0,-1.038772583E0
1.075772740E-1,6.180847883E-1,5.816740036E0,-5.677604675E-1
1.246804340E-1,5.244207382E-1,6.054403782E0,-8.999538422E-2
1.418251070E-1,4.257909656E-1,6.786439896E0,4.978909492E-1
1.589003030E-1,3.999969661E-1,7.433461666E0,5.057382584E-1
1.760062910E-1,4.305749536E-1,7.804851055E0,3.159427643E-2
1.931099600E-1,4.802630544E-1,8.249420166E0,-3.506441116E-1
2.102126430E-1,7.648710608E-1,8.986005783E0,5.659117699E-1
2.273232990E-1,7.994955778E-1,9.876152039E0,2.919140816E0
2.444248020E-1,1.306799650E0,1.045547771E1,5.102232456E0
2.615281140E-1,1.411759973E0,1.043992710E1,5.646077156E0
2.786339290E-1,8.571032286E-1,9.521449089E0,3.965535641E0
2.957375760E-1,-3.295139670E-1,6.777047634E0,-1.136307716E-1
3.128422830E-1,-1.713816404E0,2.942561150E0,-5.127006531E0
3.299462060E-1,-2.298619032E0,-2.953686714E-1,-7.818055153E0
3.470480030E-1,-1.269070864E0,-1.740506649E0,-7.486701965E0
3.641427310E-1,-8.663944900E-2,-3.012614489E0,-5.999727726E0
3.812477620E-1,6.273446083E-1,-4.131817818E0,-4.149869442E0
3.983512370E-1,1.139695883E0,-4.728627682E0,-4.109900475E0
4.154572240E-1,5.281146765E-1,-5.944808483E0,-6.703675747E0
4.325501520E-1,-2.674231529E-1,-7.077060223E0,-8.879614830E0
4.496798720E-1,-3.876152337E-1,-7.240022659E0,-9.967089653E0
4.667817910E-1,-2.997068167E-1,-6.841779709E0,-9.975872040E0
4.838871790E-1,-5.940828472E-2,-5.977262497E0,-8.746570587E0
5.009898310E-1,3.356107771E-1,-4.938138485E0,-6.924340725E0
5.180954220E-1,6.820944548E-1,-4.655048847E0,-5.482902527E0
5.351990290E-1,6.563227773E-1,-4.835404396E0,-4.511924267E0
5.523047630E-1,4.337880909E-1,-5.708359718E0,-4.667700768E0
