"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.862072900E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.862687500E-2,-6.699807942E-2,1.738739014E-2,2.695226669E-2
9.863567700E-2,-8.330573142E-2,6.398200989E-3,1.202445030E-1
1.086473960E-1,-8.515164256E-2,-4.414367676E-2,1.299054623E-1
1.186639060E-1,-7.752245665E-2,-9.547042847E-2,8.954381943E-2
1.286832290E-1,-7.066830993E-2,-1.465778351E-1,6.449508667E-2
1.387069790E-1,-3.843769431E-2,-1.991033554E-1,2.527570724E-2
1.487347390E-1,1.767194271E-2,-2.827239037E-1,-1.091387272E-1
1.587659370E-1,7.202434540E-2,-3.822793961E-1,-2.484557629E-1
1.687998430E-1,1.228348911E-1,-5.106091499E-1,-2.054696083E-1
1.788356770E-1,1.585437655E-1,-6.588234901E-1,6.423473358E-3
1.888550000E-1,1.541298926E-1,-7.881526947E-1,1.548800468E-1
1.988760410E-1,1.789106429E-1,-9.152379036E-1,3.107347488E-1
2.088985410E-1,2.133668959E-1,-1.073328972E0,3.084387779E-1
2.189222390E-1,2.437787056E-1,-1.288840294E0,2.177033424E-1
2.289468230E-1,3.200479746E-1,-1.546339512E0,5.267477036E-2
2.389719790E-1,2.556483150E-1,-1.736669540E0,-2.374253273E-1
2.489973960E-1,1.124092489E-1,-1.881217957E0,-5.318367481E-1
2.590201040E-1,5.785286427E-3,-2.013453007E0,-7.927052975E-1
2.690381250E-1,3.282412887E-2,-2.219689846E0,-9.378659725E-1
2.790544790E-1,-4.987835884E-3,-2.396435738E0,-1.073607683E0
2.890269790E-1,-1.745958477E-1,-2.467121601E0,-1.379714727E0
2.990030730E-1,-2.204293460E-1,-2.595737457E0,-1.791466117E0
3.089842710E-1,-1.526579857E-1,-2.654925346E0,-2.077831268E0
3.189717710E-1,3.654927015E-3,-2.720004082E0,-2.076055050E0
3.289665100E-1,-2.831198573E-1,-3.001755238E0,-2.719901800E0
3.389690620E-1,-2.260980904E-1,-2.937311172E0,-2.791293621E0
3.489796870E-1,-1.513686478E-1,-2.917046070E0,-2.764614582E0
3.589983850E-1,-1.633360982E-1,-2.925600290E0,-2.684088707E0
3.690247390E-1,-9.125176072E-2,-2.958170652E0,-2.187739849E0
3.790580730E-1,-4.473614693E-2,-3.015046835E0,-1.924894214E0
3.890956770E-1,1.388531923E-2,-3.137626886E0,-2.016478539E0
3.991383850E-1,1.389592886E-2,-3.184183836E0,-2.044247389E0
4.091849480E-1,-4.398714006E-2,-3.119088650E0,-2.290931702E0
4.192340100E-1,-1.163866222E-1,-3.037712097E0,-2.343101263E0
4.292842710E-1,-2.077223361E-1,-2.893164635E0,-2.478221655E0
4.393296870E-1,-2.224720567E-1,-2.803201199E0,-2.401201487E0
4.493466140E-1,-2.114837021E-1,-2.687046766E0,-2.205576420E0
4.593635410E-1,-2.813290358E-1,-2.311882019E0,-1.664876580E0
4.693804680E-1,-1.506430209E-1,-1.875074625E0,-9.974521995E-1
4.793973960E-1,1.248514801E-1,-1.298271179E0,-2.792011499E-1
4.893884370E-1,1.947173774E-1,-6.688733101E-1,9.924393892E-1
4.993805210E-1,4.548759460E-1,-2.087693214E-1,2.558600664E0
5.093756770E-1,7.900294065E-1,1.364245415E-1,3.894875050E0
5.193746870E-1,9.855204821E-1,6.444611549E-1,4.801058769E0
5.293780730E-1,1.087404847E0,1.180463314E0,4.805108070E0
5.393862500E-1,9.677816033E-1,1.792300224E0,4.363073349E0
5.493993750E-1,7.381975651E-1,2.579792976E0,4.148225784E0
5.594173960E-1,3.675694764E-1,3.457146168E0,3.973481655E0
5.694401040E-1,-2.076572627E-1,4.239998817E0,4.223424911E0
5.794670830E-1,-2.228858918E-1,5.027233601E0,4.998542309E0
5.894959890E-1,1.861120015E-1,5.511181831E0,5.571888447E0
5.995263020E-1,4.969625771E-1,6.057779789E0,6.332827568E0
6.095573960E-1,4.507715106E-1,6.500762939E0,6.560386181E0
6.195905210E-1,-2.386887968E-1,7.069185734E0,5.852106571E0
6.296359890E-1,-1.051653147E0,7.553222656E0,4.384622574E0
6.396466660E-1,-2.074680328E0,8.049921036E0,2.956536531E0
6.496586460E-1,-2.974778652E0,8.427457809E0,2.382341862E0
6.596720830E-1,-3.251482725E0,8.378547668E0,2.228302956E0
6.696870830E-1,-3.243461609E0,8.766646385E0,2.193574190E0
6.797036460E-1,-2.563030243E0,1.005055809E1,2.266083002E0
6.897217710E-1,-1.423022747E0,1.193777466E1,3.397429228E0
6.997402600E-1,-4.933676124E-2,1.330304050E1,5.223865986E0
7.097601560E-1,1.651345253E0,1.402140045E1,6.295382023E0
7.197813020E-1,2.730906725E0,1.428886795E1,6.411713600E0
7.298034370E-1,1.660837889E0,1.527656174E1,6.196292877E0
7.398263540E-1,-2.514455914E-1,1.670352554E1,6.352381706E0
7.498498430E-1,-2.029717445E0,1.796960831E1,7.305522919E0
7.598735930E-1,-2.819830656E0,1.846057129E1,8.716053963E0
7.698970310E-1,-2.319470406E0,1.759412766E1,1.108411026E1
7.799145310E-1,-1.468017936E0,1.684730148E1,1.245251274E1
7.899314580E-1,-3.559211195E-1,1.557882977E1,1.308782387E1
7.999219270E-1,9.219222069E-1,1.366200542E1,1.252964401E1
8.099145310E-1,1.637997508E0,1.125074387E1,1.063050270E1
8.199101560E-1,2.133945704E0,9.026268005E0,7.541777611E0
8.299095310E-1,1.776329637E0,7.436537743E0,4.109962940E0
8.399132810E-1,1.066693306E0,6.227097511E0,1.357812405E0
8.499217180E-1,7.547154278E-2,5.125061989E0,-1.418182850E0
8.599350520E-1,-4.639232755E-1,4.025188446E0,-3.247140884E0
8.699531770E-1,-1.096778154E0,3.386000633E0,-3.141099930E0
8.799759370E-1,-1.833571076E0,3.175395012E0,-1.540588617E0
8.900010930E-1,-2.175059795E0,2.688830376E0,1.390018463E-1
9.000289060E-1,-1.900196791E0,2.082729340E0,1.548955441E0
9.100600000E-1,-1.170586228E0,1.521327972E0,2.632237434E0
9.200936980E-1,-3.564955592E-1,1.100655556E0,3.786153793E0
9.301291660E-1,1.212462306E0,-4.024543762E-1,3.304190159E0
9.401656250E-1,1.979358077E0,-1.253530502E0,1.851860046E0
9.502022390E-1,1.660456538E0,-1.039482117E0,1.980257034E-2
9.602250000E-1,9.186238050E-1,-7.353553772E-1,-1.687280178E0
9.702410930E-1,6.794353724E-1,-9.430103302E-1,-2.533607483E0
9.802572390E-1,6.071168184E-1,-1.340950012E0,-3.360213757E0
9.902734370E-1,8.648040295E-1,-1.529248238E0,-4.054152966E0
1.000289791E0,1.068489552E0,-1.783288002E0,-3.615914345E0
1.010306250E0,1.166580677E0,-2.087453842E0,-2.328097582E0
1.020322916E0,1.263162732E0,-2.458194256E0,-8.754506111E-1
1.030339739E0,1.691927075E0,-2.762335777E0,2.283549309E-1
1.040356718E0,2.266114712E0,-3.042669296E0,1.377354622E0
