"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.422558000E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
2.423534600E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
3.421459400E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
4.422436000E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
5.420360800E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
6.421337300E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
7.419262100E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
8.420238700E-2,-1.145159304E-1,-7.456851006E-2,3.355583176E-2
9.418163500E-2,9.906959534E-1,1.278317273E-1,-6.141249537E-1
1.042219180E-1,1.077515006E0,-2.183792181E-2,-4.335626364E-1
1.142011660E-1,1.050883412E0,-1.384843737E-1,-2.183792144E-1
1.242109320E-1,9.001484513E-1,-1.944107562E-1,-6.924218964E-3
1.341901800E-1,6.317018270E-1,-1.976065636E-1,1.949433982E-1
1.442304630E-1,2.609897852E-1,-1.709749401E-1,3.589941263E-1
1.542097110E-1,-1.651159972E-1,-1.198422536E-1,4.655205607E-1
1.642194770E-1,-5.741775632E-1,-5.805691332E-2,5.070658922E-1
1.741682070E-1,-9.060074091E-1,5.858954508E-3,4.527373910E-1
1.841779730E-1,-1.121190786E0,3.781688958E-2,3.392867148E-1
1.941267030E-1,-1.205879331E0,5.113269389E-2,1.912149638E-1
2.041669860E-1,-1.171258211E0,2.716424316E-2,5.752427876E-2
2.141462350E-1,-1.050350785E0,-1.810949668E-2,-3.462109342E-2
2.241865180E-1,-9.209211469E-1,-7.190535218E-2,-7.403588295E-2
2.341657660E-1,-8.175904751E-1,-1.182443574E-1,-7.030745596E-2
2.441755310E-1,-7.435545921E-1,-1.752360016E-1,-2.876213938E-2
2.541242620E-1,-6.998787522E-1,-2.556634545E-1,1.704423130E-2
2.641340270E-1,-6.695187092E-1,-3.121224940E-1,4.687163606E-2
2.740827580E-1,-6.215817928E-1,-3.323625028E-1,8.042746782E-2
2.841230410E-1,-5.358279943E-1,-3.408846259E-1,1.246359423E-1
2.940412540E-1,-4.095941782E-1,-3.392867148E-1,1.613875628E-1
3.040510200E-1,-2.641855776E-1,-2.870887816E-1,1.874865443E-1
3.139997500E-1,-1.315601617E-1,-1.922802329E-1,1.858886480E-1
3.240400330E-1,-3.408846259E-2,-7.350324839E-2,1.603222936E-1
3.340192810E-1,2.130528912E-2,7.510114461E-2,1.027980223E-1
3.440290470E-1,2.503371425E-2,2.231729031E-1,4.207794741E-2
3.540388130E-1,-3.728425596E-3,3.600593805E-1,-1.970739290E-2
3.640485780E-1,-6.338323653E-2,4.021373391E-1,-8.042746782E-2
3.739973090E-1,-1.592570394E-1,3.968110085E-1,-1.368864775E-1
3.840375920E-1,-2.844256163E-1,3.909520507E-1,-1.773665249E-1
3.940168400E-1,-4.159857631E-1,3.760383427E-1,-1.848233789E-1
4.040266060E-1,-5.315669775E-1,3.605920076E-1,-1.693770438E-1
4.139753360E-1,-5.997439027E-1,3.201119602E-1,-1.342233270E-1
4.239851020E-1,-5.949501991E-1,2.727077007E-1,-1.081243455E-1
4.339338320E-1,-4.964132309E-1,2.141181529E-1,-8.415589482E-2
4.439741150E-1,-2.908172011E-1,1.720402092E-1,-8.309062570E-2
4.538923280E-1,7.456851192E-3,1.571265012E-1,-1.171790883E-1
4.639020940E-1,3.531351686E-1,1.715075821E-1,-1.645833552E-1
4.738508240E-1,6.977482438E-1,2.226402760E-1,-1.704423130E-1
4.838911080E-1,9.576727748E-1,2.460760921E-1,-1.496696621E-1
4.938703560E-1,1.006142259E0,2.050634027E-1,-1.778991669E-1
5.039106390E-1,8.708537221E-1,1.757686287E-1,-2.295644879E-1
5.138898870E-1,5.262406468E-1,1.193096191E-1,-3.142530024E-1
5.239301700E-1,8.202536404E-2,3.568635881E-2,-3.776362538E-1
5.339094180E-1,-3.126551211E-1,3.834952042E-2,-3.957457542E-1
5.438886660E-1,-5.182511806E-1,-1.544633508E-2,-3.691141307E-1
5.538373970E-1,-4.458131790E-1,3.728425596E-3,-2.982740402E-1
5.638471620E-1,-7.190535218E-2,1.187769845E-1,-2.348908186E-1
5.737958930E-1,4.969458580E-1,2.423476577E-1,-2.002697140E-1
5.838361760E-1,1.064199209E0,3.669835925E-1,-1.784317940E-1
5.938154240E-1,1.448759675E0,5.123922229E-1,-1.715075821E-1
6.038557070E-1,1.581917763E0,6.578007936E-1,-1.693770438E-1
6.138044380E-1,1.510545015E0,7.494135499E-1,-1.635181010E-1
6.238447210E-1,1.295894265E0,7.590008974E-1,-1.486043930E-1
6.338239690E-1,1.014131784E0,7.131945491E-1,-1.171790883E-1
6.438642520E-1,7.637946010E-1,6.247776151E-1,-5.965480953E-2
6.538435000E-1,5.795038939E-1,4.836300611E-1,1.225054078E-2
6.638837830E-1,4.388889670E-1,2.924150825E-1,7.776430249E-2
6.738630310E-1,3.089267015E-1,1.336906850E-1,1.448759735E-1
6.839033150E-1,1.960086524E-1,2.024002373E-2,2.189118415E-1
6.938520450E-1,8.255799860E-2,-7.297061384E-2,2.876214087E-1
7.038618110E-1,-2.450108156E-2,-1.374191195E-1,3.557983339E-1
7.138105410E-1,-1.225054115E-1,-1.725728363E-1,3.978762627E-1
7.238508240E-1,-1.933455020E-1,-1.603222936E-1,4.324973822E-1
7.338300720E-1,-2.189118415E-1,-1.278317273E-1,4.383563101E-1
7.438703560E-1,-2.178465873E-1,-1.193096191E-1,4.149205089E-1
7.538496040E-1,-1.965412945E-1,-1.368864775E-1,3.675162494E-1
7.638898870E-1,-1.555286050E-1,-1.320927888E-1,3.222424984E-1
7.738386170E-1,-9.480853379E-2,-9.693906456E-2,2.700445354E-1
7.838789010E-1,-2.822950855E-2,-4.900216311E-2,2.178465873E-1
7.938276310E-1,1.970739290E-2,1.384843793E-2,1.736381054E-1
8.038679140E-1,3.675162420E-2,5.592638254E-2,1.267664731E-1
8.138471620E-1,1.491370238E-2,6.924218684E-2,8.042746782E-2
8.238874450E-1,-5.379585549E-2,7.563377917E-2,3.728425503E-2
8.338666930E-1,-1.613875628E-1,6.870955974E-2,-4.261057824E-3
8.439069770E-1,-2.966761589E-1,4.261057824E-2,-4.420847446E-2
8.538557070E-1,-4.388889670E-1,3.728425596E-3,-8.255799860E-2
8.638959900E-1,-5.667206645E-1,-3.142530099E-2,-1.049285457E-1
8.738752380E-1,-6.460828781E-1,-2.822950855E-2,-9.906959534E-2
8.839155220E-1,-6.615292430E-1,-4.207794741E-2,-7.456851006E-2
8.938947700E-1,-5.981460214E-1,-5.965480953E-2,-4.633900523E-2
9.039045350E-1,-4.452805519E-1,-8.681905270E-2,-3.142530099E-2
9.138532660E-1,-2.237055302E-1,-1.129180342E-1,-4.687163606E-2
9.238630310E-1,2.556634694E-2,-7.510114461E-2,-9.800432622E-2
9.338117620E-1,2.439455539E-1,1.139832959E-1,-1.368864775E-1
9.438520450E-1,4.245078862E-1,3.781688809E-1,-1.113201380E-1
9.538312930E-1,5.619270205E-1,4.777711034E-1,-7.989482954E-3
9.638715760E-1,6.380934119E-1,3.344930410E-1,1.113201380E-1
9.738508240E-1,6.551376581E-1,1.288969964E-1,1.747033745E-1
9.838605900E-1,6.237123609E-1,-1.294296384E-1,1.965412945E-1
9.938093200E-1,5.656554103E-1,-3.414172530E-1,2.002697140E-1
1.003819086E0,5.352953672E-1,-4.804342687E-1,1.704423130E-1
1.013798334E0,5.747101903E-1,-5.033374429E-1,1.315601617E-1
1.023838617E0,6.812366247E-1,-4.298342168E-1,9.747169912E-2
1.033817865E0,8.021441102E-1,-3.328951299E-1,4.687163606E-2
1.043858149E0,8.245146871E-1,-2.194444835E-1,-1.597896591E-2
1.053837397E0,6.998787522E-1,-1.193096191E-1,-7.669904083E-2
1.063847162E0,4.660531878E-1,-4.687163606E-2,-1.065264493E-1
1.073795893E0,1.672465205E-1,5.858954508E-3,-7.776430249E-2
1.083805658E0,-1.438107044E-1,4.261057824E-2,-2.982740477E-2
1.093754389E0,-4.372910559E-1,7.403588295E-2,1.065264456E-2
1.103764154E0,-6.732471585E-1,9.267801046E-2,4.474110901E-2
1.113743402E0,-8.271778226E-1,1.118527651E-1,7.137271762E-2
1.123722651E0,-8.708537221E-1,1.454086006E-1,1.049285457E-1
1.133671381E0,-8.048073053E-1,1.837581247E-1,1.480717659E-1
1.143681147E0,-6.695187092E-1,1.800296903E-1,2.109223604E-1
1.153629877E0,-5.060006380E-1,1.422128081E-1,2.711097896E-1
1.163670160E0,-3.419498801E-1,8.681905270E-2,3.110572100E-1
1.173649408E0,-1.832254827E-1,2.290318534E-2,3.073287904E-1
1.183659174E0,-4.846953228E-2,-5.273059011E-2,2.535329461E-1
1.193607904E0,5.592638254E-2,-1.129180342E-1,1.800296903E-1
1.203617670E0,1.384843737E-1,-1.576591432E-1,1.001348570E-1
1.213566401E0,1.922802329E-1,-1.933455020E-1,2.769687586E-2
1.223606684E0,2.215750068E-1,-2.109223604E-1,-3.834952042E-2
1.233555414E0,2.258360684E-1,-2.045307755E-1,-7.563377917E-2
1.243595697E0,2.050634027E-1,-1.704423130E-1,-9.214537591E-2
1.253513910E0,1.688444167E-1,-1.161138266E-1,-9.960222989E-2
1.263523676E0,1.411475390E-1,-3.515372798E-2,-9.267801046E-2
1.273472406E0,1.198422536E-1,2.982740477E-2,-8.042746782E-2
1.283512690E0,9.906959534E-2,5.166532472E-2,-6.870955974E-2
1.293491938E0,6.072007492E-2,5.006742850E-2,-5.645901710E-2
1.303532221E0,-3.728425596E-3,6.338323653E-2,-4.154531285E-2
1.313511469E0,-8.522115648E-2,8.841694891E-2,-2.663161233E-2
1.323551752E0,-1.491370201E-1,1.384843737E-1,5.326322280E-4
1.333500483E0,-1.901497096E-1,1.533980817E-1,2.503371425E-2
1.343540766E0,-1.901497096E-1,1.518001854E-1,3.249056637E-2
1.353489496E0,-1.480717659E-1,1.629854590E-1,3.728425596E-3
1.363529779E0,-7.243798673E-2,2.034655064E-1,-6.285060197E-2
1.373509027E0,-2.130528912E-3,2.338255495E-1,-1.379517466E-1
