"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.159566100E-2,-3.741549561E-3,-4.115704447E-2,2.771801129E-2
3.159566100E-2,-3.741549561E-3,-4.115704447E-2,2.771801129E-2
4.159566100E-2,-3.741549561E-3,-4.115704447E-2,2.771801129E-2
5.159566100E-2,-3.741549561E-3,-4.115704447E-2,2.771801129E-2
6.159566100E-2,-1.808924675E-1,-2.299144119E-1,6.742425263E-2
7.159566100E-2,-1.534035355E-1,-1.889864355E-1,6.742425263E-2
8.159566100E-2,-1.155298874E-1,-1.413389444E-1,5.887213722E-2
9.159566100E-2,-6.421720982E-2,-7.841982692E-2,4.970915988E-2
1.015956610E-1,1.756237587E-3,-2.771801129E-2,2.405281924E-2
1.115956610E-1,5.306891724E-2,8.323038928E-3,-9.926559869E-4
1.215956610E-1,6.589708477E-2,3.825543448E-2,-9.544769302E-3
1.315956610E-1,5.429064855E-2,4.925100878E-2,-8.933904581E-3
1.415956610E-1,3.352123126E-2,3.886630014E-2,-2.825251780E-3
1.515956610E-1,1.580613852E-2,2.237293869E-2,1.244637929E-2
1.615956610E-1,1.091921609E-2,-8.399396902E-4,3.138320148E-2
1.715956610E-1,2.130392566E-2,-1.855503209E-2,4.726569727E-2
1.815956610E-1,3.291036561E-2,-2.466368489E-2,7.292203605E-2
1.915956610E-1,5.001459271E-2,-2.832887508E-2,1.089630872E-1
2.015956610E-1,5.367978290E-2,-2.832887508E-2,1.254564524E-1
2.115956610E-1,4.329507425E-2,-3.565925732E-2,1.346194297E-1
2.215956610E-1,4.696026444E-2,-3.932445124E-2,1.456149966E-1
2.315956610E-1,6.467536092E-2,-3.077233583E-2,1.511127949E-1
2.415956610E-1,9.155342728E-2,-1.672243699E-2,1.529453844E-1
2.515956610E-1,1.318705380E-1,9.926559869E-4,1.559997052E-1
2.615956610E-1,1.856266707E-1,1.320996135E-2,1.645518243E-1
2.715956610E-1,2.204459906E-1,3.581197560E-2,1.614975035E-1
2.815956610E-1,2.406045496E-1,3.459024429E-2,1.486693323E-1
2.915956610E-1,2.448806018E-1,1.809688285E-2,1.511127949E-1
3.015956610E-1,2.448806018E-1,2.298380435E-2,1.767691374E-1
3.115956610E-1,2.503784001E-1,4.558581859E-2,2.067015320E-1
3.215956610E-1,2.772564590E-1,9.201157838E-2,1.853212416E-1
3.315956610E-1,2.674826086E-1,1.451568604E-1,1.566105783E-1
3.415956610E-1,2.112830132E-1,1.848630905E-1,1.541671157E-1
3.515956610E-1,1.135445759E-1,2.044107765E-1,1.511127949E-1
3.615956610E-1,-2.519819187E-3,1.891391575E-1,1.498910636E-1
3.715956610E-1,-1.155298874E-1,1.408807933E-1,1.517236531E-1
3.815956610E-1,-2.053270787E-1,8.895725012E-2,1.468367279E-1
3.915956610E-1,-2.279291004E-1,4.192062840E-2,1.486693323E-1
4.015956610E-1,-1.833359301E-1,8.933904581E-3,1.529453844E-1
4.115956610E-1,-1.118647009E-1,-4.505131394E-3,1.578323096E-1
4.215956610E-1,-5.627596006E-2,1.198823005E-2,1.529453844E-1
4.315956610E-1,-1.840231568E-2,2.664899640E-2,1.407280862E-1
4.415956610E-1,2.191479132E-2,5.291620269E-2,1.272890419E-1
4.515956610E-1,8.544477820E-2,5.169447139E-2,1.547779888E-1
4.615956610E-1,1.367574632E-1,3.764457256E-2,1.743256748E-1
4.715956610E-1,1.709659100E-1,2.603813075E-2,1.669952869E-1
4.815956610E-1,2.308306992E-1,5.879578181E-3,1.578323096E-1
4.915956610E-1,3.285691440E-1,-1.244637929E-2,1.523345262E-1
5.015956610E-1,4.183663428E-1,-2.283108793E-2,1.700496078E-1
5.115956610E-1,5.112178326E-1,-4.543310404E-2,2.250274867E-1
5.215956610E-1,5.539784431E-1,-6.620252132E-2,2.800053656E-1
5.315956610E-1,5.338198543E-1,-4.970915988E-2,3.117703497E-1
5.415956610E-1,4.818963110E-1,-1.061378326E-2,3.325397670E-1
5.515956610E-1,4.763985276E-1,6.696610153E-2,3.649156392E-1
5.615956610E-1,5.295438170E-1,1.506546438E-1,4.235586822E-1
5.715956610E-1,5.497023463E-1,1.897500157E-1,4.302782118E-1
5.815956610E-1,5.808565021E-1,1.805870384E-1,4.034001231E-1
5.915956610E-1,5.680283308E-1,1.414916664E-1,3.624721766E-1
6.015956610E-1,5.112178326E-1,1.769218445E-1,3.227659166E-1
6.115956610E-1,4.171445966E-1,3.265838325E-1,2.903900743E-1
6.215956610E-1,2.980258763E-1,4.811327457E-1,2.592359483E-1
6.315956610E-1,2.247220576E-1,5.208389759E-1,1.676061451E-1
6.415956610E-1,1.428661048E-1,5.532148480E-1,9.430231899E-2
6.515956610E-1,6.895141304E-2,5.611560941E-1,5.398521572E-2
6.615956610E-1,-1.534798928E-2,5.251150131E-1,1.305724494E-2
6.715956610E-1,-1.582904607E-1,4.200462103E-1,-7.063129544E-2
6.815956610E-1,-3.818671405E-1,3.058144152E-1,-1.408807933E-1
6.915956610E-1,-6.940192580E-1,2.318997234E-1,-1.408807933E-1
7.015956610E-1,-9.768499136E-1,3.031418845E-2,-7.735081017E-2
7.115956610E-1,-1.204702616E0,-1.578323096E-1,1.855503209E-2
7.215956610E-1,-1.394681692E0,-3.478114009E-1,1.211803928E-1
7.315956610E-1,-1.604819298E0,-5.194645524E-1,2.622902691E-1
7.415956610E-1,-1.854052424E0,-6.691265106E-1,4.156174362E-1
7.515956940E-1,-2.111226559E0,-8.346710205E-1,5.249623060E-1
7.615956940E-1,-2.297540426E0,-9.757808447E-1,5.304601192E-1
7.715956940E-1,-2.395278931E0,-8.420013785E-1,4.693735838E-1
7.815956940E-1,-2.348242283E0,-5.891031623E-1,3.942371607E-1
7.915956940E-1,-2.252336502E0,-3.294854462E-1,3.087160289E-1
8.015956940E-1,-2.173534870E0,-1.217912585E-1,2.372447848E-1
8.115956940E-1,-2.061746597E0,3.336851299E-2,1.786017269E-1
8.215956940E-1,-1.946903944E0,1.213331074E-1,1.010218412E-1
8.315956940E-1,-1.838780761E0,1.879174262E-1,-4.008803144E-2
8.415956940E-1,-1.734322786E0,2.526691258E-1,-1.769218445E-1
8.515956940E-1,-1.634751797E0,2.929862440E-1,-2.636647224E-1
8.615956940E-1,-1.551063180E0,2.728276849E-1,-3.155882657E-1
8.715956940E-1,-1.510746121E0,2.111303061E-1,-3.241403699E-1
8.815956940E-1,-1.427057624E0,6.757696718E-2,-2.545017302E-1
8.915956940E-1,-1.355586290E0,-3.871358559E-2,-1.775327176E-1
9.015956940E-1,-1.262123942E0,-9.796751291E-2,-1.140027270E-1
9.115956940E-1,-1.159498572E0,-1.052978933E-1,-9.873109311E-2
9.215956940E-1,-1.044655919E0,-9.308059514E-2,-1.195005104E-1
9.315956940E-1,-9.194285274E-1,-9.552405030E-2,-1.463785917E-1
9.415956940E-1,-8.253552914E-1,-1.199586615E-1,-1.433242559E-1
9.515956940E-1,-7.948120236E-1,-1.663844138E-1,-9.873109311E-2
9.615956940E-1,-7.764860988E-1,-2.176970989E-1,-1.687515154E-2
9.715956940E-1,-7.862599492E-1,-2.445751727E-1,6.009386852E-2
9.815956940E-1,-7.001278996E-1,-2.225840241E-1,1.016327068E-1
9.915956940E-1,-6.323218942E-1,-1.278999150E-1,1.083522215E-1
1.001595694E0,-6.262132525E-1,-3.993531689E-2,6.131559983E-2
1.011595694E0,-5.785657167E-1,2.664899640E-2,2.588541433E-2
1.021595694E0,-5.125923157E-1,7.712173741E-3,3.504839167E-2
1.031595694E0,-4.160755873E-1,-2.283108793E-2,6.925684959E-2
1.041595694E0,-3.012329340E-1,-4.970915988E-2,9.674578160E-2
1.051595660E0,-2.279291004E-1,-6.192646548E-2,1.120174155E-1
1.061595660E0,-2.120465934E-1,-5.032002553E-2,1.352302879E-1
1.071595660E0,-2.578614950E-1,-4.726569727E-2,1.957059503E-1
1.081595660E0,-3.604868650E-1,-8.697193861E-2,3.050508201E-1
1.091595660E0,-4.881576896E-1,-1.456149966E-1,4.638758004E-1
1.101595660E0,-6.396522522E-1,-2.067015320E-1,6.159812212E-1
1.111595660E0,-7.422776222E-1,-2.830596864E-1,7.234935164E-1
1.121595660E0,-8.369617462E-1,-2.934443951E-1,7.625889182E-1
1.131595660E0,-6.494261026E-1,-3.627012298E-2,6.355289221E-1
1.141595660E0,-4.069126248E-1,1.909717470E-1,4.840343595E-1
1.151595660E0,-1.344667077E-1,3.528510332E-1,2.842814028E-1
1.161595660E0,1.337031275E-1,4.377613068E-1,1.114065498E-1
1.171595660E0,3.236822188E-1,3.424663246E-1,8.399396902E-4
1.181595660E0,3.688862622E-1,1.885282844E-1,-1.565342210E-2
1.191595660E0,2.974150181E-1,-1.427897532E-2,1.977676153E-2
1.201595660E0,1.831832081E-1,-1.248455867E-1,2.222022414E-2
1.211595660E0,8.300131559E-2,-9.613491595E-2,-6.490443368E-3
1.221595660E0,-1.412625890E-2,5.268712528E-3,-2.725986205E-2
1.231595660E0,-8.804095536E-2,5.597052723E-2,-1.382082608E-2
1.241595660E0,-1.937206388E-1,4.657847341E-3,3.932445124E-2
1.251595660E0,-3.024546504E-1,-3.443752974E-2,4.787656292E-2
1.261595660E0,-3.403283060E-1,1.603521290E-3,5.726861767E-3
1.271595660E0,-3.433826268E-1,9.078984708E-2,-3.397937864E-2
1.281595660E0,-2.822960913E-1,1.750892550E-1,-6.452263892E-2
1.291595660E0,-1.796707362E-1,2.251801938E-1,-6.452263892E-2
1.301595660E0,-6.238461286E-2,2.123520374E-1,-1.626428775E-2
1.311595660E0,5.978843570E-2,1.335504204E-1,6.192646548E-2
1.321595660E0,1.624137908E-1,5.268712528E-3,1.541671157E-1
1.331595660E0,2.259437889E-1,-1.217912585E-1,2.439643145E-1
1.341595660E0,2.833651304E-1,-1.755474061E-1,2.940552533E-1
1.351595660E0,3.597232699E-1,-1.034653038E-1,2.690097690E-1
1.361595660E0,4.745659232E-1,3.092505224E-2,1.865429729E-1
