"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.979743800E-2,5.526620150E-1,2.828750610E-1,-1.209116936E0
3.979743800E-2,5.919784307E-1,2.998628616E-1,-1.194071293E0
4.979743800E-2,6.614325047E-1,3.666982651E-1,-1.123205543E0
5.979743800E-2,6.561291218E-1,3.625450134E-1,-9.216572046E-1
6.979743800E-2,1.029656768E0,-2.175998688E-2,-8.649878502E-1
7.979743800E-2,1.100918055E0,-3.812789917E-3,-9.426022768E-1
8.979743800E-2,1.077900171E0,1.314163208E-1,-9.413514137E-1
9.979743800E-2,9.697469473E-1,1.838779449E-1,-8.008979559E-1
1.097974380E-1,1.008069873E0,2.497396469E-1,-3.939404488E-1
1.197974380E-1,1.017177701E0,2.779693604E-1,-3.719692230E-1
1.297974380E-1,9.428819418E-1,4.090032578E-1,-2.282471657E-1
1.397974380E-1,5.463294983E-1,4.552507401E-1,-2.611234188E-1
1.497974380E-1,7.146638632E-1,3.374147415E-1,-1.862800121E-1
1.597974380E-1,6.617616415E-1,3.449459076E-1,-1.853981018E-1
1.697974380E-1,6.919192076E-1,5.154399872E-1,-3.179681301E-1
1.797974380E-1,4.173761606E-1,9.964761734E-1,-2.329821587E-1
1.897974380E-1,-1.149747372E-1,1.087087631E0,-1.531536579E-1
1.997974380E-1,2.953934669E-2,7.135353088E-1,-3.253145218E-1
2.097974380E-1,2.624136209E-1,6.667366028E-1,-6.026835442E-1
2.197974380E-1,-7.241511345E-2,8.904962540E-1,-5.224380493E-1
2.297974380E-1,-2.879002094E-1,1.258289337E0,8.366608620E-2
2.397974380E-1,-1.810954809E-1,1.307554245E0,3.711369038E-1
2.497974380E-1,4.682625532E-1,1.047633171E0,2.283172607E-1
2.597974380E-1,1.267054915E0,6.940660477E-1,-2.145907879E-1
2.697974380E-1,1.761171222E0,2.065620422E-1,-9.885382652E-2
2.797974380E-1,1.782688618E0,5.724525452E-2,-1.452560425E-1
2.897974380E-1,1.884688616E0,8.877754211E-3,2.370119095E-1
2.997974380E-1,2.011283159E0,1.721954346E-1,2.299299240E-1
3.097974380E-1,1.575241208E0,1.507625580E-1,1.185059547E-1
3.197974380E-1,1.512752652E0,2.041578293E-1,1.972699165E-2
3.297974380E-1,1.378881574E0,3.417310715E-1,-4.160332680E-1
