"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.159566100E-2,-5.898681879E-1,-1.316285133E-1,-7.293424606E-1
4.159566100E-2,-5.946520567E-1,-1.315836906E-1,-7.299232483E-1
5.159566100E-2,-5.994291306E-1,-1.315345764E-1,-7.305040359E-1
6.159566100E-2,-6.041964293E-1,-1.314759254E-1,-7.310829163E-1
7.159566100E-2,-6.273299456E-1,-1.161131859E-1,-7.407836914E-1
8.159566100E-2,-6.468026638E-1,-1.033053398E-1,-7.488174438E-1
9.159566100E-2,-6.615521908E-1,-9.473037720E-2,-7.543439865E-1
1.015956610E-1,-6.701474786E-1,-9.160661697E-2,-7.566995621E-1
1.115956610E-1,-6.730760336E-1,-9.503412247E-2,-7.554559708E-1
1.215956610E-1,-6.716545224E-1,-1.036648750E-1,-7.513723373E-1
1.315956610E-1,-6.670936346E-1,-1.141357422E-1,-7.460947037E-1
1.415956610E-1,-6.615052819E-1,-1.242966652E-1,-7.408304214E-1
1.515956610E-1,-6.569699645E-1,-1.332912445E-1,-7.362031937E-1
1.615956610E-1,-6.544672251E-1,-1.413984299E-1,-7.321929932E-1
1.715956610E-1,-6.547137499E-1,-1.497168541E-1,-7.283773422E-1
1.815956610E-1,-6.571342349E-1,-1.595120430E-1,-7.241086960E-1
1.915956610E-1,-6.610952616E-1,-1.709070206E-1,-7.192497253E-1
2.015956610E-1,-6.668226719E-1,-1.844606400E-1,-7.135581970E-1
2.115956610E-1,-6.732125282E-1,-1.987285614E-1,-7.075738907E-1
2.215956610E-1,-6.806125641E-1,-2.123627663E-1,-7.019662857E-1
2.315956610E-1,-6.887735128E-1,-2.265706062E-1,-6.961355209E-1
2.415956610E-1,-6.964043379E-1,-2.425336838E-1,-6.893825531E-1
2.515956610E-1,-7.028697133E-1,-2.609896660E-1,-6.812763214E-1
2.615956610E-1,-7.079151869E-1,-2.831020355E-1,-6.712141037E-1
2.715956610E-1,-6.420581937E-1,-7.518725395E-1,-4.228038788E-1
2.815956610E-1,-6.451731920E-1,-7.812666893E-1,-4.069499969E-1
2.915956610E-1,-6.478458047E-1,-8.122429848E-1,-3.900327682E-1
3.015956610E-1,-6.520604491E-1,-8.436012268E-1,-3.729276657E-1
3.115956610E-1,-6.571378708E-1,-8.751840591E-1,-3.556442261E-1
3.215956610E-1,-6.617913246E-1,-9.074797630E-1,-3.377447128E-1
3.315956610E-1,-6.615502834E-1,-9.418058395E-1,-3.179464340E-1
3.415956610E-1,-6.554886699E-1,-9.749960899E-1,-2.979564667E-1
3.515956610E-1,-6.460670233E-1,-1.003386021E0,-2.802162170E-1
3.615956610E-1,-6.349178553E-1,-1.023527622E0,-2.670145035E-1
3.715956610E-1,-6.250324249E-1,-1.033912182E0,-2.596797943E-1
3.815956610E-1,-6.193171740E-1,-1.034864426E0,-2.584276199E-1
3.915956610E-1,-6.177016497E-1,-1.028264999E0,-2.621498108E-1
4.015956610E-1,-6.201102734E-1,-1.019773960E0,-2.674684525E-1
4.115956610E-1,1.813638806E-1,3.881367207E0,-6.407526016E0
4.215956610E-1,3.059776425E-1,4.010317802E0,-6.305222511E0
4.315956610E-1,2.524180412E-1,4.087425709E0,-6.236314774E0
4.415956610E-1,-8.915960789E-2,4.365314484E0,-5.983635902E0
4.515956610E-1,-9.030491114E-2,4.376305103E0,-5.967930794E0
4.615956610E-1,2.015202641E-1,4.438862324E0,-5.917747974E0
4.715956610E-1,1.846366525E-1,4.374490738E0,-5.644627571E0
4.815956610E-1,1.431041360E-1,4.381259441E0,-5.314586163E0
4.915956610E-1,-9.606993198E-2,4.432987690E0,-5.079526901E0
5.015956610E-1,-5.711186528E-1,4.533511162E0,-4.937301159E0
5.115956610E-1,-4.780455828E-1,4.602250576E0,-5.103784561E0
5.215956610E-1,-1.982211471E-1,4.596809864E0,-5.467060089E0
5.315956610E-1,4.094964266E-2,4.580958366E0,-5.648735523E0
5.415956610E-1,-1.465990543E-1,4.435450077E0,-5.132102013E0
5.515956610E-1,-2.125464082E-1,4.366522789E0,-5.024867058E0
5.615956610E-1,-7.299333811E-2,4.042179585E0,-5.003410339E0
5.715956610E-1,2.590795159E-1,3.246278286E0,-5.001928329E0
5.815956610E-1,3.206988573E-1,2.751687050E0,-5.373661041E0
5.915956610E-1,4.066860080E-1,2.658838749E0,-5.544041634E0
6.015956610E-1,6.230109334E-1,2.107379913E0,-6.369985580E0
6.115956610E-1,1.042707324E0,1.448750496E0,-6.958611488E0
6.215956610E-1,1.231559157E0,-1.525378227E-1,-7.054172039E0
6.315956610E-1,1.252310395E0,-2.836194038E-1,-7.126360893E0
6.415956610E-1,9.413222075E-1,-7.002196312E-1,-7.386593819E0
6.515956610E-1,9.937634468E-1,-1.481166840E0,-7.883271694E0
6.615956610E-1,1.266964078E0,-2.258028030E0,-8.304916382E0
6.715956610E-1,1.041680574E0,-2.709449530E0,-8.755521774E0
6.815956610E-1,2.311894298E-1,-3.184697390E0,-1.002691364E1
6.915956610E-1,-4.070770741E-2,-3.270495892E0,-1.036171341E1
7.015956610E-1,-4.285619259E-1,-3.693046570E0,-1.005172348E1
7.115956610E-1,-5.342941284E-1,-4.004918098E0,-1.012336826E1
7.215956610E-1,-7.083719969E-1,-4.399573803E0,-1.057763481E1
7.315956610E-1,-6.975879669E-1,-4.288300991E0,-1.066235256E1
7.415956610E-1,6.777555943E-1,-3.640547276E0,-9.632972717E0
7.515956940E-1,1.211413622E0,-3.319118977E0,-9.228359222E0
7.615956940E-1,1.955498695E0,-2.273284197E0,-8.403656960E0
7.715956940E-1,2.404810429E0,-1.282918930E0,-7.000242233E0
7.815956940E-1,1.800554156E0,4.859848022E-1,-5.784121513E0
7.915956940E-1,1.573623180E0,9.611239433E-1,-5.693696976E0
8.015956940E-1,9.352633357E-1,2.079767227E0,-4.960709572E0
8.115956940E-1,7.519638538E-1,2.880302668E0,-4.563734055E0
8.215956940E-1,8.078845739E-1,4.187704086E0,-4.114151001E0
8.315956940E-1,6.595137119E-1,4.500197411E0,-4.104166985E0
8.415956940E-1,1.657468677E-1,5.022728920E0,-3.864009380E0
8.515956940E-1,4.170018435E-2,5.283723831E0,-3.652837753E0
8.615956940E-1,-2.722984552E-1,5.424468040E0,-3.514459133E0
8.715956940E-1,-4.575490355E-1,5.472434521E0,-3.150830746E0
8.815956940E-1,-5.385121107E-1,5.543805599E0,-2.767325401E0
8.915956940E-1,-3.192288280E-1,5.559668541E0,-2.669989109E0
9.015956940E-1,1.654262543E-1,5.580387592E0,-2.878313541E0
9.115956940E-1,3.769335449E-1,5.570189953E0,-3.075044632E0
9.215956940E-1,5.033838749E-1,5.617803574E0,-3.243503571E0
9.315956940E-1,2.841299772E-1,5.662932396E0,-3.592117310E0
9.415956940E-1,-8.812105656E-2,5.575866699E0,-4.312793255E0
9.515956940E-1,-1.707203388E-1,5.678902626E0,-4.374999046E0
9.615956940E-1,7.166355848E-2,5.788596630E0,-4.319039345E0
9.715956940E-1,3.457493186E-1,5.965621948E0,-4.152384281E0
9.815956940E-1,1.037068486E0,6.128558159E0,-4.004651546E0
9.915956940E-1,1.066374302E0,6.208349228E0,-4.026966572E0
1.001595694E0,9.465026855E-1,6.451179028E0,-3.889059544E0
1.011595694E0,2.995219231E-1,6.726340294E0,-3.534654617E0
1.021595694E0,-2.877625823E-1,7.024367332E0,-2.864919662E0
1.031595694E0,-2.878206968E-1,7.063827991E0,-2.871808052E0
1.041595694E0,-3.505593538E-2,7.021691322E0,-3.150407791E0
1.051595660E0,8.822739124E-3,6.811635017E0,-3.669227600E0
1.061595660E0,-2.000576854E-1,6.640114784E0,-4.127065182E0
1.071595660E0,-3.793961406E-1,6.767973900E0,-4.299543381E0
1.081595660E0,-5.808190107E-1,7.004823208E0,-4.024901390E0
