"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.237295500E-1,-1.410501719E0,-7.057169080E-2,-3.704347908E-1
1.337785080E-1,-1.341261506E0,-7.722939365E-3,-3.523258269E-1
1.438313730E-1,-1.004647851E0,8.495233208E-2,-3.086512685E-1
1.538865290E-1,-4.038564563E-1,2.617810071E-1,-2.809551954E-1
1.639424140E-1,3.567199111E-1,4.471315742E-1,-2.724333405E-1
1.739769980E-1,1.142995000E0,5.472634435E-1,-3.011946380E-1
1.839941850E-1,1.728873253E0,6.537867785E-1,-3.469996452E-1
1.940113730E-1,2.034595013E0,6.058512926E-1,-3.800218701E-1
2.040286120E-1,2.060160637E0,4.396749437E-1,-4.034570158E-1
2.140458520E-1,1.821548462E0,2.458025217E-1,-4.236964285E-1
2.240631440E-1,1.375215888E0,9.666989744E-2,-4.258269072E-1
2.340804870E-1,8.276860714E-1,1.062569916E-1,-4.460663199E-1
2.440978310E-1,2.789579034E-1,2.734985650E-1,-4.737623930E-1
2.541152270E-1,-9.813459218E-2,3.256950080E-1,-4.673709869E-1
2.641326230E-1,-2.952027023E-1,4.844147265E-1,-3.374125659E-1
2.741500710E-1,-3.473991156E-1,4.322183132E-1,-2.085193694E-1
2.841675710E-1,-3.484643400E-1,3.565867543E-1,-6.577813625E-2
2.941851230E-1,-2.632457018E-1,3.161078990E-1,9.933298081E-2
3.042027270E-1,-1.471353173E-1,2.106498331E-1,2.165086120E-1
3.141793420E-1,-4.061200842E-2,1.669752747E-1,3.315537870E-1
3.241592890E-1,1.997311832E-3,1.797580719E-1,4.135767221E-1
3.341439250E-1,4.127778113E-3,2.564548552E-1,4.412727654E-1
3.441343420E-1,-2.250304818E-2,3.374125659E-1,4.125114977E-1
3.541314250E-1,-3.102491237E-2,3.565867543E-1,3.752283454E-1
3.641356960E-1,1.904104091E-2,3.512606025E-1,3.517931998E-1
3.741474140E-1,1.298252791E-1,2.617810071E-1,3.464670479E-1
3.841664770E-1,2.597837150E-1,7.003907114E-2,3.645760119E-1
3.941925190E-1,3.545894325E-1,-1.483336985E-1,4.167724252E-1
4.042249670E-1,3.961335421E-1,-3.603150845E-1,4.710993171E-1
4.142618420E-1,3.641765416E-1,-5.382089615E-1,4.785559475E-1
4.243033000E-1,2.235657871E-1,-6.404713392E-1,4.476641715E-1
4.343481960E-1,-2.676397935E-2,-6.671021581E-1,3.741630912E-1
4.443952790E-1,-2.866808474E-1,-5.446003675E-1,2.346175760E-1
4.544433000E-1,-4.379439354E-1,-2.207695395E-1,4.287562892E-2
4.644835600E-1,-4.901403487E-1,-7.802832127E-2,-1.403444558E-1
4.745010080E-1,-3.665733039E-1,6.258244067E-2,-2.948032320E-1
4.845182480E-1,-1.151783243E-1,6.577813625E-2,-3.896089792E-1
4.945354870E-1,9.893351793E-2,1.158440933E-1,-4.769580960E-1
5.045527270E-1,1.596518010E-1,5.619104207E-2,-6.101121902E-1
5.145439250E-1,-6.298190355E-2,1.360835135E-1,-7.262226343E-1
5.245354350E-1,-6.754909158E-1,2.202369273E-1,-7.593780160E-1
5.345300710E-1,-1.676809907E0,2.468677461E-1,-6.612433791E-1
5.445286120E-1,-2.718607903E0,9.240896255E-2,-4.332835376E-1
5.545316850E-1,-3.347095251E0,-2.974663079E-1,-2.074541301E-1
5.645396540E-1,-3.416335344E0,-7.363423109E-1,1.837527007E-2
5.745527270E-1,-2.980655193E0,-9.856068492E-1,1.600512564E-1
5.845708520E-1,-2.353232861E0,-1.086804032E0,3.826849759E-1
5.945938210E-1,-1.954835773E0,-1.290263534E0,6.085143685E-1
6.046212690E-1,-1.903704524E0,-1.288133025E0,5.637745857E-1
6.146525710E-1,-2.052837133E0,-1.046325088E0,3.422061205E-1
6.246869980E-1,-2.132729769E0,-7.576469779E-1,6.737598777E-2
6.347237690E-1,-2.063489437E0,-2.633788586E-1,-1.616491079E-1
6.447619980E-1,-1.895182729E0,2.894770801E-1,-2.958684862E-1
6.548008520E-1,-1.695984125E0,7.444647551E-1,-3.651086092E-1
6.648329350E-1,-1.505307436E0,9.681636691E-1,-3.459344208E-1
6.748501750E-1,-1.298652172E0,8.935973644E-1,-2.330197245E-1
6.848674140E-1,-1.067496657E0,5.483286977E-1,-7.749570161E-2
6.948846540E-1,-8.107754588E-1,6.364767253E-2,7.483261824E-2
7.049018940E-1,-6.105116606E-1,-4.135767221E-1,2.197043151E-1
7.149191330E-1,-5.306192040E-1,-7.917344570E-1,3.443365693E-1
7.249364250E-1,-5.327496529E-1,-9.898678064E-1,3.975982368E-1
7.349537690E-1,-5.540543199E-1,-9.153015018E-1,3.571193814E-1
7.449711640E-1,-5.881417990E-1,-5.829487443E-1,2.548570037E-1
7.549886120E-1,-6.318163276E-1,-1.248985752E-1,1.291595101E-1
7.649806960E-1,-6.403381824E-1,2.937380075E-1,1.198387146E-2
7.749748620E-1,-6.030550599E-1,4.822842479E-1,-1.009308323E-1
7.849719460E-1,-5.199668407E-1,5.025236607E-1,-1.797580719E-1
7.949726230E-1,-3.814865649E-1,3.704347908E-1,-1.861494780E-1
8.049774670E-1,-8.854749799E-2,4.021254554E-2,-1.179745570E-1
8.149867890E-1,3.513937294E-1,-1.813559234E-1,1.624480449E-2
8.250007480E-1,8.298165202E-1,-4.061200917E-1,1.664426625E-1
8.350192890E-1,1.233539820E0,-6.244928837E-1,3.049229383E-1
8.450422580E-1,1.464695454E0,-7.746906877E-1,4.263595045E-1
8.550692370E-1,1.501978517E0,-8.162348270E-1,5.073172450E-1
8.650996540E-1,1.408238053E0,-7.118419409E-1,5.222305059E-1
8.751328310E-1,1.279344916E0,-4.785559475E-1,4.423380196E-1
8.851680390E-1,1.163234472E0,-1.770949960E-1,3.017272651E-1
8.952044980E-1,1.087602973E0,9.773512930E-2,1.270290315E-1
9.052413730E-1,9.597749710E-1,4.236964285E-1,5.592473317E-3
9.152705920E-1,8.809477091E-1,5.909380317E-1,-1.350182891E-1
9.252453830E-1,9.448617101E-1,6.933335662E-1,-2.362154275E-1
9.352235080E-1,1.080146313E0,7.103772759E-1,-2.777595222E-1
9.452064250E-1,1.264431596E0,5.898727775E-1,-3.278254569E-1
9.551953310E-1,1.363498211E0,5.131760240E-1,-3.704347908E-1
9.651911120E-1,1.486000061E0,5.270240307E-1,-2.330197245E-1
9.751943940E-1,1.655372143E0,4.545882046E-1,-6.790860742E-2
9.852054350E-1,1.770417333E0,4.503272474E-1,5.033225939E-2
9.952241850E-1,1.802374244E0,4.641752839E-1,1.099853069E-1
1.005250331E0,1.729938388E0,4.087831676E-1,1.408770680E-1
1.015282102E0,1.586131930E0,4.354139864E-1,1.834863871E-1
1.025317987E0,1.348585010E0,5.355458856E-1,2.314218730E-1
1.035358873E0,1.121690392E0,5.387415886E-1,2.186390758E-1
1.045403612E0,7.669677734E-1,6.047860384E-1,2.985315621E-1
1.055451008E0,3.758940995E-1,7.050511241E-1,2.942706347E-1
1.065499706E0,9.041165560E-2,7.828131318E-1,1.792254597E-1
1.075548456E0,-8.854749799E-2,7.689650655E-1,5.033225939E-2
1.085566894E0,-1.929403245E-1,5.717638135E-1,-5.512581021E-2
1.095585331E0,-2.344844192E-1,1.765623689E-1,-1.999974996E-1
