"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.251316700E-1,9.786828607E-2,1.030612960E-1,3.648423031E-2
1.351796390E-1,1.351514459E-1,9.986559302E-2,3.754946589E-2
1.452312530E-1,1.543256342E-1,1.179745570E-1,5.139749497E-2
1.552850030E-1,1.628475040E-1,1.105179265E-1,6.204982474E-2
1.653393260E-1,1.703041345E-1,9.560466558E-2,7.589785010E-2
1.753713050E-1,1.745650619E-1,9.347419441E-2,8.335448056E-2
1.853884930E-1,1.766955256E-1,9.134373069E-2,8.228924870E-2
1.954056800E-1,1.841521561E-1,9.986559302E-2,7.483261824E-2
2.054228680E-1,1.926740259E-1,1.222354919E-1,7.483261824E-2
2.153954200E-1,2.118482143E-1,1.105179265E-1,6.311506033E-2
2.253704200E-1,2.352833450E-1,9.773512930E-2,4.713656008E-2
2.353505760E-1,2.651098669E-1,5.725627393E-2,2.476666868E-2
2.453371390E-1,3.162410557E-1,2.929390874E-3,1.517957076E-2
2.553310970E-1,3.716331720E-1,-4.820179567E-2,2.476666868E-2
2.653330760E-1,4.185034335E-1,-8.974587917E-2,4.181039706E-2
2.753433890E-1,4.611127377E-1,-1.121157780E-1,5.459319428E-2
2.853619300E-1,4.973306656E-1,-1.259638071E-1,5.991935730E-2
2.953883890E-1,5.420704484E-1,-1.664426625E-1,6.524552405E-2
3.054220350E-1,6.018566489E-1,-1.983996481E-1,6.844121963E-2
3.154619300E-1,6.604444981E-1,-2.069215178E-1,6.737598777E-2
3.255068780E-1,7.179670334E-1,-1.983996481E-1,5.778888986E-2
3.355555760E-1,7.850767374E-1,-1.781602204E-1,5.672365800E-2
3.456066180E-1,8.425993323E-1,-1.440727711E-1,6.524552405E-2
3.556585450E-1,8.532516360E-1,-4.926702753E-2,6.204982474E-2
3.656981280E-1,8.031857014E-1,3.595161438E-2,3.222329915E-2
3.757153160E-1,6.977276206E-1,9.666989744E-2,-1.784265228E-2
3.857325030E-1,5.635082722E-1,1.190397888E-1,-6.577813625E-2
3.957496910E-1,4.057206213E-1,5.406057462E-2,-1.105179265E-1
4.057666700E-1,2.406095117E-1,-4.926702753E-2,-1.147788614E-1
4.157837010E-1,9.147688746E-2,-2.058562785E-1,-1.147788614E-1
4.258007330E-1,-5.552527308E-2,-3.603150845E-1,-1.062569916E-1
4.358178160E-1,-1.695052087E-1,-4.721645415E-1,-8.601756394E-2
4.458348990E-1,-2.536586225E-1,-5.371437669E-1,-5.619104207E-2
4.558519830E-1,-3.047898114E-1,-5.509917736E-1,-1.784265228E-2
4.658254720E-1,-3.069202602E-1,-5.456656218E-1,2.370143496E-2
4.758025030E-1,-3.143768907E-1,-5.318176150E-1,6.950645149E-2
4.857845350E-1,-3.484643400E-1,-5.200999975E-1,1.163767055E-1
4.957727640E-1,-4.017260075E-1,-5.360785127E-1,1.547250897E-1
5.057681280E-1,-4.528571963E-1,-5.541874766E-1,1.632469594E-1
