"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.251316700E-1,1.116485894E-1,-4.141244888E-1,-1.236605644E-1
1.351796390E-1,-1.489907503E-2,-5.893492699E-1,-3.616325855E-1
1.452312530E-1,-9.401637316E-2,-7.167801857E-1,-4.922749996E-1
1.552850030E-1,-5.108302832E-2,-8.406729698E-1,-5.033886433E-1
1.653393260E-1,-1.850241423E-2,-9.707250595E-1,-6.488735676E-1
1.753713050E-1,6.327262521E-2,-1.225429058E0,-7.523691654E-1
1.853884930E-1,1.613358557E-1,-1.495557308E0,-7.780318260E-1
1.954056800E-1,8.515337110E-2,-1.688618660E0,-8.550384045E-1
2.054228680E-1,2.253623009E-1,-1.922306061E0,-7.966306210E-1
2.153954200E-1,3.178958595E-1,-2.168294907E0,-7.848389149E-1
2.253704200E-1,3.619073331E-1,-2.327637672E0,-8.521473408E-1
2.353505760E-1,3.598555326E-1,-2.495878220E0,-7.360732555E-1
2.453371390E-1,3.036410809E-1,-2.596195698E0,-7.025649548E-1
2.553310970E-1,2.307711989E-1,-2.704696178E0,-7.423038483E-1
2.653330760E-1,1.551287770E-1,-2.843336582E0,-8.296346664E-1
2.753433890E-1,5.905532837E-2,-2.992219210E0,-9.537743330E-1
2.853619300E-1,7.669064403E-2,-3.072734833E0,-9.260603189E-1
2.953883890E-1,4.198992252E-2,-3.174906969E0,-8.577555418E-1
3.054220350E-1,6.771427393E-2,-3.316453695E0,-9.285819530E-1
3.154619300E-1,1.202784181E-1,-3.445040464E0,-1.022847176E0
3.255068780E-1,1.075191796E-1,-3.634755135E0,-1.093847752E0
3.355555760E-1,1.297453046E-2,-3.758944511E0,-1.146653891E0
3.456066180E-1,-1.767814159E-2,-3.828751087E0,-1.501784801E0
3.556585450E-1,2.144486159E-1,-3.779734135E0,-1.851543427E0
3.656981280E-1,3.084240258E-1,-3.660253763E0,-1.945306778E0
3.757153160E-1,1.299118251E-1,-3.489575624E0,-2.058750868E0
3.857325030E-1,-1.690620184E-2,-3.379956722E0,-1.793166518E0
3.957496910E-1,-1.536391973E-1,-3.012933016E0,-1.843879938E0
4.057666700E-1,-1.486049294E-1,-2.637316465E0,-1.355000854E0
4.157837010E-1,-2.442492247E-1,-2.476690531E0,-1.038366079E0
4.258007330E-1,-3.404236734E-1,-2.399209499E0,-6.180957556E-1
4.358178160E-1,-3.205448687E-1,-2.333104610E0,-1.222399473E-1
4.458348990E-1,-2.106856704E-1,-2.199024439E0,3.190840483E-1
4.558519830E-1,-1.760900021E-1,-2.036280394E0,8.358925581E-1
4.658254720E-1,-1.586178243E-1,-1.897480488E0,1.209925652E0
4.758025030E-1,-2.093816102E-1,-1.557201862E0,1.295030594E0
4.857845350E-1,-1.724761724E-1,-1.178309441E0,1.508470058E0
4.957727640E-1,1.561081409E-2,-8.872013092E-1,1.888662457E0
5.057681280E-1,3.202551603E-1,-5.081014633E-1,2.259068966E0
5.157711490E-1,5.768201947E-1,1.587848663E-1,2.551033258E0
5.257821390E-1,8.349283934E-1,1.131574154E0,2.588212967E0
5.358023990E-1,1.217495322E0,2.100232124E0,2.647153854E0
5.458300550E-1,1.526968718E0,2.883517265E0,2.650509834E0
5.558644300E-1,1.691338897E0,3.673057079E0,3.459717751E0
5.659045870E-1,1.578186631E0,4.647147179E0,4.079400063E0
5.759493260E-1,9.571840167E-1,5.642766476E0,4.674131870E0
5.859973470E-1,2.928213477E-1,6.339911938E0,4.635028839E0
5.960472950E-1,-4.319161177E-2,6.833160877E0,5.470574856E0
6.060978160E-1,-4.795223475E-3,7.246263027E0,6.145079613E0
6.161293780E-1,9.157025814E-1,7.856645584E0,6.801595211E0
6.261454720E-1,2.012004137E0,8.675544739E0,6.841944695E0
6.361210450E-1,1.747069716E0,1.010297203E1,6.642605782E0
6.460998990E-1,4.346624017E-1,1.153268623E1,5.649485111E0
6.560834930E-1,-2.181032181E0,1.410701561E1,5.186785698E0
6.660729720E-1,-4.322200298E0,1.743697548E1,6.410906792E0
6.760691700E-1,-5.350940228E0,1.968770599E1,8.255989075E0
6.860726600E-1,-5.402424335E0,2.001259613E1,9.472215652E0
6.960837010E-1,-4.332911491E0,1.944523621E1,1.070534134E1
7.061022950E-1,-2.502259970E0,1.973305702E1,1.155910873E1
7.161373990E-1,-1.926875114E-1,1.870812798E1,1.252002144E1
7.261782850E-1,8.925235271E-1,1.764047623E1,1.332528305E1
7.362227120E-1,8.972089291E-1,1.642702484E1,1.436338997E1
7.462704720E-1,-2.784147859E-1,1.500309277E1,1.405115891E1
7.563202640E-1,-1.476138830E0,1.348985863E1,1.310233593E1
7.663706800E-1,-2.180197477E0,1.197136784E1,1.110341167E1
7.764047430E-1,-2.290547609E0,1.022287846E1,8.412132263E0
7.864218780E-1,-2.066788435E0,8.719464302E0,5.557909966E0
7.964377640E-1,-1.346788287E0,6.845295906E0,2.938313961E0
8.064537010E-1,-9.806044698E-1,5.955019951E0,1.141695499E0
8.164697430E-1,-4.399894476E-1,5.061577797E0,6.040744781E-1
8.264858890E-1,-2.394870520E-1,4.468155861E0,4.401812553E-1
8.364796390E-1,-6.425672770E-2,3.714365005E0,4.638547897E-1
8.464753680E-1,2.802816331E-1,2.998494148E0,1.632009506E0
8.564738580E-1,4.443584383E-1,2.658048630E0,2.416411877E0
8.664757850E-1,6.430175304E-1,2.153384209E0,2.996112823E0
8.764816180E-1,3.050044477E-1,1.767040253E0,2.759427547E0
8.864916180E-1,-7.086491585E-2,1.517102242E0,2.205975533E0
8.965059410E-1,-3.359914422E-1,1.056052208E0,1.556488037E0
9.065245350E-1,-2.853581309E-1,4.775676727E-1,7.520728111E-1
9.165471390E-1,-1.123610735E-1,-7.629871368E-2,-2.885308266E-1
9.265733890E-1,6.400185823E-2,-6.958007812E-1,-1.198542595E0
9.366028160E-1,2.257559299E-1,-1.258981705E0,-1.606867075E0
9.466347950E-1,3.193612099E-1,-1.728470802E0,-1.917428732E0
9.566685970E-1,3.889890909E-1,-2.048918724E0,-1.940382242E0
9.666891180E-1,5.113614798E-1,-2.157541275E0,-1.802227974E0
9.767111490E-1,5.618965030E-1,-2.237792969E0,-1.620388031E0
9.867344300E-1,5.241664648E-1,-2.187111855E0,-1.226309299E0
9.967586490E-1,3.072301745E-1,-1.894505501E0,-1.022477627E0
1.006783545E0,1.455028057E-1,-1.627561569E0,-9.702348709E-1
1.016808753E0,3.198427558E-1,-1.651619911E0,-6.365818977E-1
1.026833858E0,6.926586032E-1,-1.699750900E0,-4.480671883E-1
1.036852139E0,9.705860615E-1,-1.782818794E0,-5.656304359E-1
1.046869378E0,1.199603319E0,-1.801127434E0,-6.298394203E-1
1.056885264E0,1.616562128E0,-1.612492561E0,-4.005784988E-1
1.066875680E0,1.324746847E0,-1.826327324E0,-7.671523094E-1
1.076868233E0,1.351356506E0,-1.939888954E0,-6.098027229E-1
1.086863805E0,1.142000675E0,-2.191839695E0,-3.841624260E-1
1.096863128E0,7.920330167E-1,-2.316814899E0,-1.206402779E-1
1.106866774E0,6.067544818E-1,-2.604006290E0,3.426766396E-1
1.116875160E0,4.731846750E-1,-3.050283432E0,1.886491776E-1
1.126888441E0,4.323402643E-1,-3.344895363E0,-5.167570114E-1
1.136906566E0,3.894407451E-1,-3.566165924E0,-1.495290041E0
1.146929274E0,2.214336693E-1,-3.677271366E0,-2.448760986E0
1.156956149E0,4.857236147E-1,-4.089357853E0,-2.965291977E0
1.166986670E0,6.098929644E-1,-4.403146267E0,-3.524114609E0
1.177020160E0,5.735967159E-1,-4.557363510E0,-3.917048454E0
1.187055837E0,4.678170085E-1,-4.681347370E0,-3.942450047E0
1.197092868E0,2.529292107E-1,-4.833133221E0,-3.820932865E0
1.207130420E0,1.285505295E-1,-4.985878468E0,-3.412353516E0
1.217119951E0,1.266912818E-1,-5.061043739E0,-2.961613655E0
1.227112191E0,1.591757238E-1,-5.065675735E0,-2.765006065E0
1.237108024E0,3.076228797E-1,-5.043746948E0,-2.609839916E0
1.247106722E0,5.143711567E-1,-5.075677395E0,-2.729616165E0
1.257110368E0,6.285200119E-1,-5.136318684E0,-2.872048855E0
1.267119274E0,5.552274585E-1,-5.144603252E0,-3.037134409E0
1.277133597E0,4.953135848E-1,-5.180942535E0,-3.069623470E0
1.287153233E0,4.532119334E-1,-5.172828674E0,-3.101093292E0
1.297177868E0,4.045161307E-1,-5.153733730E0,-3.131934643E0
1.307207035E0,3.781812191E-1,-5.256381035E0,-3.110782146E0
1.317240108E0,3.804228008E-1,-5.327583790E0,-2.971656799E0
1.327276305E0,3.269518018E-1,-5.244528770E0,-2.776005745E0
1.337314691E0,2.148236036E-1,-5.133204937E0,-2.435955048E0
1.347353233E0,1.830806285E-1,-5.066690445E0,-1.730472326E0
1.357392139E0,1.303221583E-1,-5.070620537E0,-1.256578922E0
1.367419118E0,9.992617369E-2,-5.046057224E0,-1.256558657E0
1.377436305E0,1.782595664E-1,-4.983587265E0,-1.356124878E0
1.387453493E0,2.455052882E-1,-4.911342621E0,-1.755610943E0
1.397470680E0,2.315135747E-1,-4.823137760E0,-2.132513285E0
1.407487712E0,7.776661217E-2,-4.651360035E0,-2.361126900E0
