"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.567556000E-3,-3.410152495E-1,-5.406153202E-1,4.337139800E-2
1.531797300E-2,-3.649916947E-1,-4.987711012E-1,3.619373962E-2
2.506838900E-2,-3.772090077E-1,-3.692677617E-1,3.130681813E-2
3.481870200E-2,-3.582721949E-1,-1.646280587E-1,3.008509055E-2
4.456911900E-2,-2.984074354E-1,1.740964688E-2,1.970038936E-2
5.431953500E-2,-1.896735132E-1,1.450803876E-1,-3.512472380E-3
6.406995200E-2,-5.772672221E-2,2.446513474E-1,-2.855792828E-2
7.382036900E-2,6.322450191E-2,2.709185183E-1,-3.405570984E-2
8.357068100E-2,1.469129771E-1,2.232710719E-1,-2.000582218E-2
9.332109800E-2,1.634063274E-1,1.359174103E-1,3.130681813E-2
1.030715140E-1,1.414151937E-1,3.145953640E-2,1.290451884E-1
1.128219310E-1,1.004872546E-1,-6.139190868E-2,2.451094985E-1
1.225723480E-1,3.695731983E-2,-9.865466505E-2,3.397935331E-1
1.323226600E-1,-5.772672221E-2,-3.634645417E-2,3.575085998E-1
1.420730770E-1,-1.921169758E-1,1.206457913E-1,2.750418782E-1
1.518234940E-1,-3.313941360E-1,2.953531146E-1,1.400407553E-1
1.615739100E-1,-4.199695289E-1,3.943132162E-1,1.053741761E-2
1.713242230E-1,-4.480693042E-1,4.211912751E-1,-1.079703495E-1
1.810746390E-1,-4.480693042E-1,4.297433794E-1,-2.044869810E-1
1.908250560E-1,-4.266890585E-1,4.022544622E-1,-2.674060464E-1
2.005754730E-1,-3.741546869E-1,2.892444730E-1,-2.637408674E-1
2.103257850E-1,-2.764163017E-1,1.285870373E-1,-1.482874304E-1
2.200762020E-1,-1.646280587E-1,1.802051067E-2,1.481347065E-2
2.298266190E-1,-7.727439702E-2,-4.612028971E-2,1.595884264E-1
2.395770350E-1,5.803215317E-3,-7.177661359E-2,2.341139317E-1
2.493273480E-1,8.765909821E-2,-8.643736690E-2,2.047924101E-1
2.590777640E-1,1.444695145E-1,-9.071341902E-2,1.284343153E-1
2.688281810E-1,1.719584316E-1,-8.216131479E-2,7.406735420E-2
2.785785980E-1,1.945604384E-1,-6.994401664E-2,6.612611562E-2
2.883289100E-1,2.342666388E-1,-8.460476995E-2,6.123919412E-2
2.980793270E-1,2.898553312E-1,-1.652389169E-1,2.458730713E-2
3.078297440E-1,3.381136656E-1,-2.977965772E-1,-2.855792828E-2
3.175801600E-1,3.509418070E-1,-4.224129915E-1,-8.414662629E-2
3.273304730E-1,2.935205400E-1,-4.676169753E-1,-1.409570426E-1
3.370808890E-1,1.279761642E-1,-3.772090077E-1,-2.081521749E-1
3.468313060E-1,-1.188132018E-1,-1.737910360E-1,-2.557996213E-1
3.565816190E-1,-3.851502538E-1,5.955931544E-2,-2.771798968E-1
3.663320350E-1,-6.618719697E-1,3.045161068E-1,-2.637408674E-1
3.760824520E-1,-8.659008145E-1,4.621191919E-1,-2.472475171E-1
3.858328690E-1,-7.406735420E-1,4.205803871E-1,-2.674060464E-1
3.955831810E-1,-3.014617562E-1,3.032943606E-1,-3.022253513E-1
4.053335980E-1,1.420260668E-1,1.304196268E-1,-2.674060464E-1
4.150840140E-1,3.399462402E-1,-1.023198515E-1,-6.765327603E-2
4.248343270E-1,3.399462402E-1,-2.428187430E-1,2.383899838E-1
4.345847440E-1,3.222311735E-1,-1.737910360E-1,4.821250141E-1
4.443351600E-1,4.071413875E-1,5.955931544E-2,5.169443488E-1
4.540854730E-1,5.396990180E-1,3.735437989E-1,3.550651670E-1
4.638358890E-1,4.975493550E-1,7.449495792E-1,1.479819864E-1
4.735863060E-1,2.385426909E-1,8.286380768E-1,3.207040019E-3
4.833367230E-1,-9.560033679E-2,2.367101014E-1,-1.012508348E-1
4.930870350E-1,-2.715294063E-1,-7.858775258E-1,-2.081521749E-1
5.028374520E-1,-4.489856213E-2,-1.928805590E0,-2.967275679E-1
5.125877640E-1,4.932733178E-1,-2.770577192E0,-3.547597229E-1
5.223381810E-1,9.465349913E-1,-2.757749081E0,-3.217730224E-1
5.320885980E-1,9.954041839E-1,-1.766315460E0,-1.519526094E-1
5.418390140E-1,4.993819594E-1,-5.616901517E-1,-1.024725661E-1
5.515893270E-1,-2.299905866E-1,3.878991306E-2,-3.572031856E-1
5.613397440E-1,-8.127555847E-1,-2.596175298E-2,-7.389936447E-1
5.710900560E-1,-1.059544921E0,-3.820959330E-1,-1.011439323E0
5.808404730E-1,-8.213077188E-1,-7.577777505E-1,-1.070082426E0
5.905908890E-1,-2.397644222E-1,-8.738420606E-1,-9.301943183E-1
6.003412020E-1,3.692677617E-1,-6.533198953E-1,-6.467530727E-1
6.100916190E-1,7.999274135E-1,-2.580903769E-1,-2.484692484E-1
6.198420350E-1,9.544762373E-1,3.558287323E-1,1.931859851E-1
6.295923480E-1,8.048143387E-1,9.434806705E-1,6.024653912E-1
6.393427640E-1,4.938841760E-1,1.057712317E0,8.779653907E-1
6.490930770E-1,1.866191924E-1,7.608320713E-1,9.848667383E-1
6.588434940E-1,4.001164436E-2,4.046979249E-1,8.773545623E-1
6.685939100E-1,6.078104675E-2,2.550360560E-1,6.036871076E-1
