"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.130614700E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.105635500E-2,2.591252327E-3,-5.784797668E-2,-1.381659508E-1
5.080666800E-2,-8.060282469E-2,2.532005310E-3,-1.974664927E-1
6.055687600E-2,-1.442638487E-1,1.005039215E-1,-2.629286051E-1
7.030708400E-2,-2.674782872E-1,5.971717834E-2,-3.010717630E-1
8.005729300E-2,-3.310798705E-1,-6.509113312E-2,-3.340612650E-1
8.980760500E-2,-3.617110252E-1,-1.450834274E-1,-2.949877977E-1
9.955781400E-2,-2.919701338E-1,-9.901428223E-2,-1.355068684E-1
1.093080220E-1,-7.826656848E-2,1.018619537E-2,1.194705963E-1
1.190582300E-1,-1.407181472E-2,-8.549880981E-2,9.398698807E-2
1.288084390E-1,-1.981047392E-1,-2.148065567E-1,-1.406804323E-1
1.385587510E-1,-3.032054603E-1,-1.352691650E-1,-3.414816856E-1
1.483089590E-1,-1.330824047E-1,1.432542801E-1,-3.992233872E-1
1.580591680E-1,1.280595064E-1,2.167396545E-1,-4.310664535E-1
1.678093760E-1,2.132719457E-1,1.167917252E-1,-2.447904348E-1
1.775595840E-1,1.103927642E-1,6.804275513E-2,5.987143517E-2
1.873097930E-1,2.359008491E-1,1.301813126E-1,2.415118217E-1
1.970600010E-1,2.883103788E-1,1.279134750E-1,4.236893654E-1
2.068103140E-1,1.644563526E-1,3.500556946E-2,6.351233721E-1
2.165605220E-1,1.776598394E-1,3.759956360E-2,5.684549809E-1
2.263107300E-1,2.190527618E-1,3.322792053E-2,4.500828981E-1
2.360609390E-1,1.055334806E-1,-1.949024200E-2,5.366762877E-1
2.458111470E-1,-8.233916014E-3,1.583957672E-2,7.085795403E-1
2.555613550E-1,-1.116327383E-2,8.308124542E-2,6.567761898E-1
2.653115640E-1,1.681941748E-2,1.266450882E-1,3.240765333E-1
2.750618760E-1,-7.360929251E-2,9.971237183E-2,-4.338622093E-2
2.848120840E-1,-2.495183945E-1,1.502370834E-1,-2.581672668E-1
2.945622930E-1,-2.515376508E-1,2.133855820E-1,-3.223500252E-1
3.043125010E-1,-8.076731861E-2,2.934436798E-1,-1.207834482E-1
3.140627090E-1,1.267944723E-1,2.743558884E-1,-1.928687096E-3
3.238129180E-1,3.704132512E-2,1.591930389E-1,3.273189068E-2
3.335631260E-1,-1.419670284E-1,6.660747528E-2,-1.024416685E-1
3.433133340E-1,-1.857581139E-1,1.164140701E-1,-2.149769068E-1
3.530635430E-1,-6.506372243E-2,1.696739197E-1,-1.908832788E-1
3.628137510E-1,7.681252807E-2,2.007799149E-1,-2.755832672E-1
3.725639590E-1,2.030570209E-1,1.663722992E-1,-5.211408138E-1
3.823142720E-1,4.403675199E-1,1.707992554E-1,-6.480195522E-1
3.920644800E-1,5.851351023E-1,1.034450531E-2,-6.597809792E-1
4.018146890E-1,4.417210817E-1,-2.061748505E-1,-8.199474216E-1
4.115648970E-1,3.022955060E-1,-2.818422318E-1,-9.743958712E-1
4.213151050E-1,3.093990088E-1,-3.630886078E-1,-7.409163117E-1
4.310653140E-1,4.768192470E-1,-5.084962845E-1,-4.790201187E-1
4.408155220E-1,3.776598573E-1,-7.259721756E-1,-5.358120799E-1
4.505657300E-1,1.490213126E-1,-8.456020355E-1,-6.572486162E-1
4.603159390E-1,1.527397484E-1,-7.736234665E-1,-7.889828086E-1
4.700661470E-1,1.729077399E-1,-6.170015335E-1,-8.193243742E-1
4.798163550E-1,-5.435125530E-2,-4.052066803E-1,-1.038586259E0
4.895665640E-1,-3.820966482E-1,-2.188177109E-1,-1.084838986E0
4.993167720E-1,-6.800180674E-1,-1.744174957E-2,-9.743776321E-1
5.090669800E-1,-6.460343599E-1,3.298177719E-1,-8.975311518E-1
