"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.447018600E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
2.451046900E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
3.448971700E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
4.449948300E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
5.444821300E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
6.445797900E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
7.446774400E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
8.444699200E-2,-4.580637217E-1,1.922802329E-1,-1.065264456E-3
9.439572300E-2,3.089267015E-2,7.510114461E-2,1.704423130E-2
1.044360060E-1,3.781688958E-2,6.604639441E-2,3.355583176E-2
1.143542190E-1,3.675162420E-2,5.326322466E-2,5.006742850E-2
1.243639840E-1,3.249056637E-2,4.207794741E-2,5.805691332E-2
1.343432330E-1,2.822950855E-2,4.580637068E-2,5.858954415E-2
1.443835160E-1,2.343581803E-2,5.379585549E-2,4.420847446E-2
1.543627640E-1,2.396845073E-2,6.018744037E-2,2.822950855E-2
1.644030470E-1,2.929477207E-2,6.391586363E-2,1.438106969E-2
1.743822950E-1,3.462109342E-2,6.285060197E-2,7.989482954E-3
1.843920610E-1,3.515372798E-2,6.285060197E-2,8.522115648E-3
1.943713090E-1,3.302319720E-2,5.965480953E-2,1.757686399E-2
2.043505570E-1,3.089267015E-2,5.486112088E-2,2.609897964E-2
2.142992870E-1,2.556634694E-2,4.367584363E-2,2.556634694E-2
2.243395700E-1,1.171790902E-2,3.568635881E-2,2.024002373E-2
2.343188180E-1,-9.054748341E-3,2.290318534E-2,2.183792181E-2
2.443591020E-1,-2.130528912E-2,1.491370238E-2,2.556634694E-2
2.543383500E-1,-3.462109342E-2,2.130528912E-2,2.769687586E-2
2.643481150E-1,-3.249056637E-2,3.142530099E-2,2.556634694E-2
2.743273630E-1,-1.384843793E-2,4.048004746E-2,2.503371425E-2
2.843676470E-1,2.396845073E-2,5.592638254E-2,2.396845073E-2
2.943468950E-1,7.882957160E-2,7.776430249E-2,1.704423130E-2
3.043871780E-1,1.427454352E-1,9.374327213E-2,4.261057824E-3
3.143664260E-1,2.034655064E-1,1.065264493E-1,-1.331580617E-2
3.243761920E-1,2.418150306E-1,1.235706806E-1,-2.929477207E-2
3.343249220E-1,2.545982003E-1,1.326254308E-1,-3.675162420E-2
3.443346880E-1,2.396845073E-1,1.336906850E-1,-3.408846259E-2
3.543139360E-1,1.981391907E-1,1.299622655E-1,-2.822950855E-2
3.643542190E-1,1.464738697E-1,1.198422536E-1,-2.290318534E-2
3.743334670E-1,9.321063757E-2,1.161138266E-1,-1.544633508E-2
3.843737500E-1,6.977482140E-2,1.198422536E-1,-1.171790902E-2
3.943529980E-1,8.042746782E-2,1.177117229E-1,-7.456851192E-3
