"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.584115000E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.584427500E-2,-9.975245595E-2,-2.069473267E-4,2.973427773E-1
4.585151400E-2,-2.591827810E-1,6.432151794E-2,5.218906403E-1
5.586203500E-2,-3.961940110E-1,2.271714211E-1,7.289609909E-1
6.587703500E-2,-4.731831551E-1,3.727440834E-1,7.895431519E-1
7.589531600E-2,-4.849940240E-1,4.565696716E-1,6.014270782E-1
8.591776400E-2,-3.352719545E-1,4.911017418E-1,3.788785934E-1
9.594292000E-2,-1.790339947E-1,4.597816467E-1,1.071605682E-1
1.059714100E-1,-7.726663351E-2,4.031200409E-1,-1.057834625E-1
1.160015140E-1,3.757348657E-2,3.709053993E-1,-2.260999680E-1
1.260337540E-1,1.230526865E-1,3.654813766E-1,-2.961397171E-1
1.360570870E-1,1.706289947E-1,3.411054611E-1,-3.084440231E-1
1.460819310E-1,1.543576121E-1,3.039774895E-1,-7.778167725E-2
1.561068270E-1,9.578201175E-2,2.886757851E-1,3.290567398E-1
1.661325040E-1,7.495880127E-4,3.117327690E-1,6.435718536E-1
1.761413580E-1,-1.216644049E-2,3.170142174E-1,7.827463150E-1
1.861515660E-1,-5.566886067E-2,3.256478310E-1,6.959705353E-1
1.961622430E-1,-1.142358556E-1,3.696012497E-1,4.486293793E-1
2.061729200E-1,-1.052557603E-1,3.723387718E-1,2.908391953E-1
2.161838580E-1,-3.690467775E-2,3.878502846E-1,2.248725891E-1
2.261970870E-1,1.880749315E-2,3.474183083E-1,2.502536774E-1
2.362108370E-1,4.322431237E-2,3.401908875E-1,1.753883362E-1
2.462269830E-1,8.009941876E-2,3.371143341E-1,8.219242096E-2
2.562443790E-1,9.572891891E-2,3.232212067E-1,1.231603622E-1
2.662640140E-1,1.257000864E-1,2.576341629E-1,5.377292633E-2
2.762846390E-1,1.607041657E-1,1.757383347E-1,-1.551074982E-1
2.863071390E-1,3.146522343E-1,1.071376801E-1,-2.969732285E-1
2.963301080E-1,4.651733339E-1,1.354694366E-3,-3.613967896E-1
3.063543790E-1,4.955020845E-1,-7.473707199E-2,-3.611831665E-1
3.163752640E-1,5.459148884E-1,-8.065748215E-2,-1.780595779E-1
3.263970350E-1,5.744642019E-1,-1.649618149E-2,8.207893372E-2
3.364089100E-1,4.645954370E-1,-7.811546326E-3,2.846155167E-1
3.464220350E-1,2.769076526E-1,2.023172379E-2,4.232044220E-1
3.564354200E-1,1.167356074E-1,8.971643448E-2,4.353208542E-1
3.664502640E-1,5.477843434E-2,8.805847168E-2,3.570575714E-1
3.764580250E-1,-2.017538249E-2,9.831047058E-2,1.103858948E-1
3.864679200E-1,-7.444858551E-2,1.603245735E-1,-2.277994156E-1
3.964790660E-1,1.721267402E-2,2.236137390E-1,-3.677721024E-1
4.064926600E-1,1.042677015E-1,1.675052643E-1,-2.779092789E-1
4.165076600E-1,7.241344452E-2,1.580066681E-1,5.974960327E-2
4.265251600E-1,3.525498509E-2,2.429046631E-1,5.757675171E-1
4.365439620E-1,-4.764661193E-3,3.086533546E-1,9.369297028E-1
4.465650040E-1,-5.829546228E-2,3.261466026E-1,1.106103897E0
4.565862540E-1,-2.849653363E-2,4.134197235E-1,1.073853493E0
4.666092750E-1,6.895826757E-2,5.563745499E-1,8.389978409E-1
4.766327120E-1,1.554274261E-1,6.017823219E-1,5.915403366E-1
4.866573470E-1,2.839711010E-1,6.003823280E-1,6.023454666E-1
4.966762020E-1,2.484481335E-1,7.026600838E-1,7.772636414E-1
5.066960450E-1,1.477746069E-1,8.442897797E-1,1.203061104E0
5.167096390E-1,-7.701739669E-2,9.567179680E-1,1.829539299E0
5.267243790E-1,-1.202939600E-1,1.119927883E0,2.165148735E0
5.367392750E-1,-1.076364815E-1,1.329704762E0,2.332312584E0
5.467449520E-1,-8.770625293E-2,1.478383064E0,2.305345535E0
5.567516180E-1,2.646996081E-2,1.593343735E0,2.189476013E0
5.667607850E-1,1.524558961E-1,1.705078125E0,2.474332809E0
5.767715140E-1,1.116104349E-1,1.807602406E0,2.763256073E0
5.867850560E-1,4.906117916E-2,2.064072609E0,3.109274864E0
5.968003680E-1,1.273415089E-1,2.211596966E0,3.531366348E0
6.068184930E-1,2.060310692E-1,2.433613300E0,4.025227547E0
6.168381810E-1,1.647503464E-3,2.827775955E0,4.505273819E0
6.268603680E-1,-2.898606062E-1,3.257010937E0,4.984643936E0
6.368836500E-1,-4.659281075E-1,3.473886013E0,5.409811974E0
6.469069830E-1,-3.758552074E-1,3.533160210E0,5.684709549E0
6.569258370E-1,-5.353118852E-2,3.614579201E0,6.064645767E0
6.669463580E-1,2.285813093E-1,3.436940670E0,6.545162201E0
6.769672430E-1,3.821134865E-1,3.196730137E0,6.784055710E0
6.869893790E-1,4.011709988E-1,3.125629425E0,6.556983948E0
6.969926600E-1,4.140313268E-1,2.891881466E0,6.019254684E0
7.069964620E-1,3.061975539E-1,2.327561378E0,5.466591835E0
7.170012540E-1,2.973919809E-1,1.470101833E0,4.061957359E0
7.270092750E-1,6.955404580E-2,7.314033508E-1,1.910242081E0
7.370196910E-1,-3.677390814E-1,9.278917313E-2,2.308073044E-1
7.470326080E-1,-8.140960336E-1,-6.827135086E-1,-1.445453644E0
7.570480770E-1,-8.462387323E-1,-1.215293884E0,-2.999807358E0
7.670671390E-1,-1.430035949E0,-2.438354492E0,-4.807655334E0
7.770877640E-1,-2.113202095E0,-2.595198154E0,-6.592338085E0
7.871115140E-1,-2.503450394E0,-3.091103554E0,-7.147315025E0
7.971362020E-1,-2.187309742E0,-4.062106609E0,-6.898119926E0
8.071633370E-1,-1.697526932E0,-5.195473671E0,-6.448413849E0
8.171912540E-1,-1.079037189E0,-5.951527119E0,-5.915388107E0
8.272205250E-1,-4.317103028E-1,-6.519788742E0,-5.539943695E0
8.372442750E-1,1.437042654E-1,-6.912920475E0,-5.842163086E0
8.472607330E-1,4.522137642E-1,-7.122638226E0,-6.658029556E0
8.572599520E-1,4.178981781E-1,-7.284667015E0,-7.746087551E0
8.672616700E-1,3.920885324E-1,-7.352874279E0,-8.432748795E0
8.772652640E-1,5.210755467E-1,-7.372503281E0,-8.905020714E0
8.872722430E-1,7.957388163E-1,-7.426178932E0,-9.055127144E0
8.972810970E-1,6.466205120E-1,-7.887641430E0,-1.002801609E1
9.072938580E-1,8.557300568E-1,-8.159996033E0,-1.099903679E1
9.173094310E-1,8.172612190E-1,-8.588991165E0,-1.208333588E1
9.273288580E-1,6.811386943E-1,-8.823736191E0,-1.292726517E1
9.373500560E-1,9.470437765E-1,-9.077706337E0,-1.268736458E1
9.473745870E-1,1.095056981E-1,-8.714694023E0,-1.221114159E1
9.574002120E-1,1.061881334E-1,-8.317690849E0,-1.165507889E1
9.674283370E-1,2.757032216E-1,-8.521881104E0,-1.006319046E1
9.774566180E-1,5.296033621E-1,-8.816470146E0,-8.932503700E0
9.874864100E-1,3.686028719E-1,-8.814594269E0,-8.146829605E0
9.975115660E-1,1.248168349E-1,-8.585264206E0,-8.035386086E0
1.007537452E0,-1.467538774E-1,-8.542525291E0,-8.530457497E0
1.017545004E0,-2.326556742E-1,-8.328604698E0,-8.862067223E0
1.027552920E0,-5.926964283E-1,-8.349738121E0,-9.290998459E0
1.037560733E0,-6.857057810E-1,-7.807056427E0,-9.335988045E0
1.047570681E0,-4.881205857E-1,-7.748815536E0,-8.788002014E0
1.057581150E0,-6.758332253E-2,-7.318175793E0,-7.394558430E0
1.067594118E0,2.886768579E-1,-6.502745152E0,-5.963576317E0
1.077607868E0,5.776609778E-1,-5.599488258E0,-4.995013237E0
1.087624275E0,1.010061622E0,-4.753748894E0,-4.340100288E0
1.097641462E0,1.439081430E0,-3.675828695E0,-4.469817162E0
1.107661202E0,1.287050247E0,-2.358523130E0,-5.124205589E0
1.117682139E0,6.994236708E-1,-1.225068569E0,-5.951730728E0
1.127705160E0,4.914158583E-2,-5.528049469E-1,-6.271066189E0
1.137727816E0,-5.868605375E-1,-1.525692940E-1,-5.699475288E0
1.147751983E0,-6.451496482E-1,-1.390409470E-2,-2.848601341E0
1.157761254E0,7.155929804E-1,2.039709091E-1,3.857727528E0
1.167772556E0,3.231240988E0,7.841567993E-1,1.141731071E1
1.177784275E0,4.533824921E0,5.835556984E-1,1.388652039E1
1.187798389E0,4.192305088E0,5.385875702E-3,9.980372429E0
1.197813077E0,4.128413200E0,5.079140663E-1,3.119058609E0
1.207828441E0,4.656970978E0,1.627820015E0,6.047224998E-1
1.217844483E0,2.792873383E0,2.471854210E0,4.905778408E0
1.227862972E0,-7.386385202E-1,5.073130608E0,1.343043995E1
1.237881983E0,-3.333368778E0,7.965324879E0,2.051743698E1
1.247903181E0,-3.384150267E0,9.137693405E0,2.216981125E1
1.257924535E0,-2.141478300E0,1.082333755E1,1.946419907E1
1.267947608E0,-1.526336074E-1,1.200697803E1,1.492949772E1
1.277961775E0,2.941856086E-1,1.365406895E1,9.625826836E0
1.287977868E0,6.337760687E-1,1.461659431E1,4.366232872E0
1.297993962E0,3.907132447E-1,1.461823845E1,4.185839653E0
1.308011879E0,-1.903838038E0,1.339891338E1,8.819852829E0
1.318028597E0,-4.450117588E0,1.157996845E1,1.805066109E1
1.328047139E0,-5.912516594E0,1.028228474E1,2.662290764E1
1.338062035E0,-6.183743000E0,8.463543892E0,3.042884254E1
1.348078754E0,-4.528506279E0,7.943107605E0,3.040817451E1
1.358095472E0,-3.207612514E0,6.355321407E0,2.372513580E1
1.368113962E0,-1.568206549E0,5.520278454E0,1.335307693E1
1.378128910E0,-3.370036781E-1,4.522338867E0,3.196619034E0
1.388145681E0,8.331367373E-1,3.099164009E0,-3.270706177E0
1.398162295E0,1.600467920E0,2.155095577E0,-5.652079582E0
1.408180681E0,2.038896561E0,1.445882320E0,-3.495961189E0
1.418195733E0,1.769593120E0,7.658538818E-1,1.276829720E0
1.428212608E0,9.439966083E-1,3.242950439E-1,6.244199753E0
1.438229170E0,-2.862011790E-1,3.652901649E-1,9.966029167E0
1.448247504E0,-1.604204416E0,2.517695427E-1,1.014778423E1
1.458262608E0,-2.087947607E0,8.378744125E-2,6.121442795E0
1.468279587E0,-1.675424814E0,3.649964333E-1,3.706912994E-1
1.478295993E0,-1.144352913E0,4.398531914E-1,-4.635967255E0
1.488314170E0,-6.960845590E-1,6.185770035E-2,-7.927000999E0
1.498344275E0,8.219540119E-2,-6.468076706E-1,-9.657959938E0
1.508375056E0,6.452880502E-1,-1.270728111E0,-1.017711926E1
1.518362868E0,6.458853483E-1,-2.099788189E0,-9.959727287E0
1.528353597E0,1.161226630E-2,-2.534575462E0,-8.402870178E0
1.538346358E0,-7.760053873E-1,-3.041668415E0,-5.640374184E0
1.548343858E0,-1.515904546E0,-3.873804331E0,-3.117215633E0
1.558344847E0,-1.625704408E0,-4.976326942E0,-1.073398590E0
1.568349952E0,-1.180818558E0,-6.097244263E0,3.989095688E-1
1.578369014E0,-2.192772031E-1,-7.089932919E0,6.003856659E-1
1.588393545E0,8.080629706E-1,-7.563488960E0,-6.971588135E-1
1.598423077E0,1.593453765E0,-8.021887779E0,-3.634523392E0
1.608456775E0,2.200497627E0,-8.107994080E0,-6.642515659E0
1.618492035E0,2.281753778E0,-8.110839844E0,-9.454528809E0
1.628529847E0,1.486979842E0,-7.453248024E0,-1.188255215E1
1.638563389E0,1.173899695E-2,-6.360255241E0,-1.344876862E1
1.648598025E0,-7.866818905E-1,-5.574987411E0,-1.393180656E1
1.658596827E0,-9.657984376E-1,-5.106750488E0,-1.362269211E1
1.668596306E0,-5.401453376E-1,-5.296012878E0,-1.284608459E1
1.678598702E0,-7.137772441E-2,-5.596971989E0,-1.142853165E1
1.688604691E0,4.632623196E-1,-5.898584843E0,-9.029296875E0
1.698612868E0,1.097910881E0,-6.347118378E0,-6.573163986E0
1.708623389E0,1.582739353E0,-6.840113163E0,-5.007674217E0
1.718636410E0,1.642388582E0,-7.155186176E0,-4.350200653E0
1.728653754E0,1.069284678E0,-7.097145557E0,-4.666647911E0
1.738673441E0,1.437572539E-1,-6.704574585E0,-5.222858429E0
1.748697087E0,-6.277801991E-1,-6.346713066E0,-5.730162621E0
1.758722452E0,-9.854159951E-1,-6.492632389E0,-6.276408195E0
1.768749795E0,-7.890856862E-1,-6.429527283E0,-6.570932388E0
1.778778025E0,-4.738129377E-1,-6.837575912E0,-6.746642590E0
1.788808389E0,-2.750726342E-1,-7.124095917E0,-7.361010551E0
1.798836618E0,1.828218997E-2,-7.097681046E0,-7.993548393E0
1.808865889E0,2.413970530E-1,-6.992705345E0,-8.801095963E0
1.818864275E0,3.605682850E-1,-6.830091000E0,-9.470119476E0
1.828865160E0,3.775913715E-1,-6.738934994E0,-9.595582962E0
1.838867295E0,3.388857841E-1,-6.652736187E0,-8.879897118E0
1.848872972E0,1.531126201E-1,-6.375068188E0,-7.596197128E0
1.858880733E0,-1.258767396E-1,-5.845952511E0,-6.652897358E0
1.868891566E0,-3.282994032E-3,-5.063183308E0,-6.152697086E0
1.878904952E0,8.717941046E-1,-4.261212349E0,-6.141895294E0
1.888922608E0,2.120821238E0,-2.668775558E0,-5.978631973E0
1.898942660E0,3.151110888E0,-1.277819157E0,-5.848230362E0
1.908966618E0,3.121486664E0,1.987295151E-1,-5.902333736E0
1.918992295E0,1.599539995E0,9.330339432E-1,-5.715175629E0
1.929020941E0,-6.891211867E-1,7.365570068E-1,-4.366031647E0
1.939050160E0,-2.840923786E0,7.312417030E-1,-1.353186131E0
1.949081202E0,-3.338222027E0,2.455695152E0,4.909399033E0
1.959098285E0,-3.407165289E0,5.651603699E0,1.032812500E1
1.969116045E0,-3.957180977E0,6.164170265E0,1.019689941E1
1.979133806E0,6.474441290E-2,3.581255913E0,7.574645519E0
1.989153181E0,4.533161640E0,2.321376801E0,6.399633408E0
1.999165108E0,5.040602684E0,1.935283661E0,1.004582977E1
2.009179014E0,1.692295909E0,3.610622406E0,1.567854023E1
2.019193129E0,-2.590744972E0,6.928149223E0,1.911198044E1
2.029207556E0,-4.665461063E0,9.175373077E0,1.896624947E1
2.039222347E0,-4.138669014E0,1.000047016E1,1.477757168E1
2.049239379E0,-1.939962745E0,1.019228172E1,9.778872490E0
2.059256722E0,-7.642466426E-1,1.100940895E1,7.516715050E0
2.069276202E0,-1.257452965E0,1.127380085E1,8.179223061E0
2.079295785E0,-1.774900675E0,1.054437256E1,1.087045383E1
2.089317139E0,-2.085199833E0,9.777347565E0,1.406850147E1
2.099332295E0,-2.884969711E0,9.394289970E0,1.807488632E1
2.109349275E0,-3.656250954E0,8.475124359E0,2.241558647E1
2.119365733E0,-3.648099899E0,6.974613667E0,2.439697266E1
2.129383962E0,-2.464474440E0,5.668678284E0,2.318432617E1
2.139399170E0,-9.200319648E-1,5.200237274E0,1.822333145E1
2.149416254E0,2.356016636E-2,5.263510704E0,1.114366436E1
2.159432608E0,4.219830930E-1,5.522757053E0,4.354801178E0
2.169450733E0,6.684247255E-1,5.590804100E0,-4.460783005E-1
2.179466045E0,7.695441246E-1,4.808829784E0,-3.467480183E0
2.189483181E0,1.144085646E0,4.791951656E0,-2.411379814E0
2.199499483E0,1.544847250E0,3.903072357E0,4.225273132E-1
2.209515785E0,1.324512124E0,3.201875210E0,4.206881523E0
2.219532087E0,3.373091221E-1,2.464407921E0,7.599248886E0
2.229550264E0,-8.115615249E-1,1.557095528E0,9.562003136E0
2.239566358E0,-1.403341651E0,5.733880997E-1,9.171920776E0
2.249584222E0,-1.570137620E0,2.467746735E-1,6.046508789E0
2.259599795E0,-1.373397350E0,3.256568909E-1,1.400825500E0
2.269617191E0,-1.338479996E0,3.580746651E-1,-3.240294933E0
2.279633233E0,-1.485556245E0,3.741698265E-1,-6.599106312E0
2.289651045E0,-1.567672014E0,-1.206426620E-1,-7.921210766E0
2.299666670E0,-1.675404072E0,-9.399476051E-1,-8.087250710E0
2.309684066E0,-1.484099388E0,-1.610470295E0,-6.931095123E0
2.319700108E0,-1.008432388E0,-2.753633499E0,-5.693490982E0
2.329717920E0,-6.918814778E-1,-4.175220490E0,-4.729796886E0
2.339733493E0,-4.883477986E-1,-5.539580345E0,-4.398488998E0
2.349750941E0,-2.642513812E-1,-6.819559097E0,-4.406483173E0
2.359766983E0,3.397545218E-2,-7.957067966E0,-4.807907104E0
2.369784847E0,3.406062722E-1,-8.801640511E0,-6.096270561E0
2.379800420E0,7.284235954E-1,-9.181403160E0,-7.657742500E0
2.389817816E0,9.532759786E-1,-8.912851334E0,-9.293648720E0
2.399833858E0,7.191607356E-1,-8.307335854E0,-1.073149967E1
2.409851670E0,6.239987612E-1,-7.647538185E0,-1.151799393E1
2.419867295E0,9.675734043E-1,-7.242709160E0,-1.187614441E1
2.429884743E0,6.896991730E-1,-6.907410622E0,-1.219252396E1
2.439900733E0,8.592694998E-1,-6.647868156E0,-1.193097782E1
2.449918545E0,1.023943543E0,-6.940988541E0,-1.089810848E1
2.459934170E0,1.152828574E0,-7.045705795E0,-9.702502251E0
2.469951566E0,1.076618791E0,-7.161215305E0,-8.161369324E0
2.479967608E0,9.323638678E-1,-7.414054871E0,-6.784973621E0
2.489985472E0,8.550942540E-1,-7.717544556E0,-5.816860199E0
2.500001045E0,7.674795389E-1,-7.971652985E0,-5.460304260E0
2.510018441E0,6.593725085E-1,-8.088739395E0,-5.394848347E0
2.520034483E0,4.752953053E-1,-8.091496468E0,-5.477601051E0
2.530052295E0,1.766649336E-1,-7.975082397E0,-5.822894573E0
2.540067920E0,-1.782237887E-1,-7.790677071E0,-6.507602692E0
2.550085420E0,-6.526812911E-2,-7.487706184E0,-6.960639000E0
2.560101358E0,-4.465140402E-2,-7.432485104E0,-7.633004189E0
2.570119118E0,-4.226389527E-2,-7.345726013E0,-8.358214378E0
2.580134795E0,-1.897034794E-1,-7.195785522E0,-8.714335442E0
2.590150472E0,-2.740943432E-1,-6.865719318E0,-8.920122147E0
2.600166202E0,-2.428860068E-1,-6.531232834E0,-9.034850121E0
2.610183806E0,7.198314369E-2,-6.378270626E0,-8.872614861E0
2.620201410E0,6.545842886E-1,-6.308469772E0,-8.135990143E0
2.630220785E0,9.813174605E-1,-5.934710503E0,-7.457641125E0
2.640235108E0,1.021754503E0,-5.257836819E0,-6.737829685E0
2.650251306E0,1.038667440E0,-4.569102287E0,-5.968721390E0
2.660267504E0,1.284278274E0,-3.298204184E0,-5.244149685E0
2.670285525E0,1.367035747E0,-2.263911963E0,-5.609069824E0
2.680301983E0,1.173386812E0,-1.324500084E0,-6.249058723E0
2.690318441E0,5.012676716E-1,-6.080775261E-1,-6.650091648E0
2.700334900E0,-7.806192636E-1,-1.698575020E-1,-5.974801064E0
2.710351358E0,-1.781577468E0,5.140533447E-1,-2.726004124E0
2.720367816E0,-9.651689529E-1,2.157398701E0,3.666038990E0
2.730386097E0,2.438438833E-1,3.961832047E0,9.673992157E0
2.740402295E0,1.214089692E-1,3.546449184E0,1.075403214E1
2.750420264E0,2.348752916E-1,8.848881721E-1,9.477496147E0
2.760435733E0,1.167315006E0,-5.277347565E-1,7.073426723E0
2.770453025E0,1.036449671E0,1.849470139E-1,6.794761181E0
