"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.613265500E-2,-3.385901451E-1,1.225170135E0,-6.641973495E0
5.613265500E-2,-4.569456354E-2,-1.316461563E-1,-6.994322777E0
6.613265500E-2,-2.698504180E-2,-3.006052971E-1,-7.002996922E0
7.613265500E-2,1.083883196E-1,-8.302607536E-1,-6.918179512E0
8.613265500E-2,-9.761452675E-4,-1.358361244E0,-6.824463844E0
9.613265500E-2,-1.875136048E-1,-1.993990898E0,-7.082564354E0
1.061326550E-1,-2.190647870E-1,-2.165061951E0,-7.100441933E0
1.161326550E-1,-2.523078620E-1,-2.600894451E0,-7.073184967E0
1.261326550E-1,-1.234492660E-1,-2.963124990E0,-6.831625462E0
1.361326550E-1,1.089547276E-1,-3.710836411E0,-7.068436146E0
1.461323210E-1,7.446926832E-2,-3.813151836E0,-7.210586548E0
1.561327210E-1,1.642024517E-2,-4.080296516E0,-7.743182659E0
1.661327210E-1,-1.116860658E-1,-4.201048851E0,-7.871278286E0
1.761328040E-1,-2.622419596E-1,-4.387485027E0,-7.837752819E0
1.861328040E-1,-3.892148435E-1,-4.447562695E0,-7.782102585E0
1.961328040E-1,-5.917268395E-1,-4.447090626E0,-7.705611229E0
2.061328040E-1,-7.365640402E-1,-4.343882561E0,-7.664855480E0
2.161328040E-1,-5.828120708E-1,-4.133575439E0,-7.542069435E0
2.261328620E-1,-4.684915245E-1,-3.998577118E0,-7.389490604E0
2.361328620E-1,-3.505173326E-1,-3.707831621E0,-7.227499008E0
2.461328620E-1,-3.084241748E-1,-3.468133926E0,-7.189381123E0
2.561338620E-1,-5.630171895E-1,-2.811277390E0,-7.075466633E0
2.661338620E-1,-6.203588247E-1,-2.655121803E0,-7.064432144E0
2.761338620E-1,-7.790064812E-1,-2.225048065E0,-7.183738232E0
2.861338620E-1,-1.067426682E0,-1.772363663E0,-7.404222488E0
2.961338620E-1,-1.382152796E0,-9.169697762E-1,-8.242869377E0
3.061339020E-1,-1.397170544E0,-8.397884369E-1,-8.333942413E0
3.161339020E-1,-1.333902359E0,-6.055693626E-1,-8.581675529E0
3.261339020E-1,-1.276153922E0,-3.426804543E-1,-8.534715652E0
3.361339020E-1,-1.019563437E0,-8.477020264E-2,-8.449417114E0
3.461339020E-1,-9.564312696E-1,-9.991741180E-2,-8.431338310E0
3.561339020E-1,-8.653447628E-1,-1.291027069E-1,-8.277580261E0
3.661339020E-1,-7.757679224E-1,-2.384386063E-1,-7.919784546E0
3.761339020E-1,-5.862914324E-1,-3.962283134E-1,-7.516580582E0
3.861339020E-1,-3.825770319E-1,-5.240726471E-1,-7.210859776E0
3.961339350E-1,-1.854826808E-1,-6.564564705E-1,-6.910476208E0
4.061339350E-1,-2.920567989E-3,-8.063569069E-1,-6.616639614E0
4.161339350E-1,1.271161437E-2,-9.395089149E-1,-6.344185829E0
4.261339350E-1,-6.437310576E-2,-9.998064041E-1,-6.213651657E0
4.361335350E-1,-2.465422750E-1,-1.081732750E0,-6.283574581E0
4.461336350E-1,-2.162428498E-1,-1.041764736E0,-6.498588085E0
4.561335010E-1,-4.170022905E-2,-1.033999920E0,-6.738032818E0
4.661335340E-1,2.934080362E-2,-9.927196503E-1,-6.888098717E0
4.761335000E-1,-7.492445409E-2,-8.823127747E-1,-7.331643581E0
4.861331330E-1,-5.814589560E-2,-6.859970093E-1,-7.642603874E0
4.961331330E-1,9.739684314E-2,-3.382225037E-1,-7.800314903E0
5.061331330E-1,1.324199289E-1,-2.212319374E-1,-7.800539017E0
5.161331330E-1,1.963461637E-1,-9.769630432E-2,-7.635748863E0
5.261330990E-1,1.897737980E-1,7.910680771E-2,-7.309600830E0
5.361330990E-1,2.379202843E-1,3.120641708E-1,-7.062030792E0
5.461330990E-1,2.601151466E-1,3.799591064E-1,-7.119884491E0
5.561324320E-1,2.029563785E-1,6.714153290E-1,-7.151445389E0
5.661324320E-1,2.324234545E-1,9.294261932E-1,-7.175271511E0
5.761324320E-1,1.460505426E-1,1.226166248E0,-7.186962605E0
5.861324320E-1,-3.176256269E-2,1.514111996E0,-7.299396992E0
5.961324320E-1,-1.942632198E-1,1.858405590E0,-7.367007732E0
6.061323980E-1,-1.922804564E-1,2.095359325E0,-7.426938057E0
6.161323980E-1,-2.952750921E-1,2.151994228E0,-7.305441380E0
6.261323980E-1,-2.243295610E-1,2.194184303E0,-7.050930977E0
6.361323980E-1,1.257251054E-1,2.391891956E0,-6.191683769E0
6.461323980E-1,3.060135841E-1,2.460744858E0,-5.688762665E0
6.561323980E-1,3.765721023E-1,2.584322929E0,-5.782401085E0
6.661323980E-1,3.678447604E-1,2.668652534E0,-5.867326736E0
6.761324310E-1,3.722716272E-1,2.798424244E0,-6.028156757E0
6.861324310E-1,4.939443767E-1,2.896673203E0,-6.139533043E0
6.961320640E-1,4.827933311E-1,3.034143448E0,-6.204874516E0
7.061320640E-1,4.599005580E-1,3.067186356E0,-6.245839596E0
7.161320640E-1,4.297381043E-1,3.148998737E0,-6.114041328E0
7.261320640E-1,4.800989628E-1,3.267768383E0,-5.991641998E0
7.361320640E-1,6.747169495E-1,3.420214176E0,-6.016995430E0
7.461320640E-1,7.061249018E-1,3.467762947E0,-5.986807823E0
7.561320640E-1,7.127617598E-1,3.481080532E0,-5.995202065E0
7.661320300E-1,6.311169863E-1,3.767213821E0,-5.920438766E0
7.761320300E-1,3.906876445E-1,4.134742260E0,-6.083374023E0
7.861328960E-1,1.750538647E-1,4.352686405E0,-5.807269096E0
7.961328960E-1,-5.315080285E-2,4.392473698E0,-5.488754272E0
8.061328960E-1,-2.108531594E-1,4.491849422E0,-5.162667274E0
8.161328960E-1,-3.485547006E-1,4.669335842E0,-5.064314842E0
8.261328960E-1,-1.623518765E-1,4.798418999E0,-5.241307735E0
8.361329290E-1,1.146112978E-1,4.935908318E0,-5.433978081E0
8.461329290E-1,3.463987708E-1,5.125326157E0,-5.488375664E0
8.561327290E-1,7.979542017E-1,5.262699604E0,-5.678222656E0
8.661327620E-1,8.221414685E-1,5.277687550E0,-5.731322289E0
8.761327950E-1,7.915599942E-1,5.413409710E0,-5.739283085E0
8.861327950E-1,5.536510348E-1,5.588629723E0,-5.678222179E0
8.961327950E-1,-1.600813866E-2,5.890008926E0,-5.883743286E0
9.061327950E-1,-1.661326885E-1,5.939109802E0,-5.876920700E0
9.161327950E-1,-4.130312800E-1,6.094032288E0,-5.953222275E0
9.261328280E-1,-3.644055724E-1,6.142468452E0,-5.964898109E0
9.361328280E-1,-1.688902974E-1,6.396846771E0,-5.304790974E0
9.461328610E-1,-1.525224447E-1,6.405856609E0,-5.309538364E0
